Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
Kepler-366 b,3.281959,0.045,,2.73,1.46,4.82,,1873.31,1156,6209,4.45,0.541,1.07,1.05,0
Kepler-366 c,12.51616,0.11,,3.86,1.79,3.7,,314.93,1156,6209,4.45,0.541,1.07,1.05,0
Kepler-367 b,37.815724,0.201,,2.24,1.3,5.6,,5.99,198,4710,4.63,-0.651,0.81,0.69,0
Kepler-367 c,53.578637,0.253,,1.87,1.2,5.95,,3.76,198,4710,4.63,-0.651,0.81,0.69,0
Kepler-368 b,26.84768,0.186,,10.7,3.26,1.7,,107.58,488,5502,3.9,0.548,0.97,2.02,0
Kepler-368 c,72.379334,0.36,,14.3,3.88,1.35,,28.68,488,5502,3.9,0.548,0.97,2.02,0
Kepler-369 b,2.732756,0.03,,1.51,1.13,5.75,,40.3,214,3591,4.79,-1.42,0.5,0.47,0
Kepler-369 c,14.871572,0.094,,2.57,1.41,5.04,,4.21,214,3591,4.79,-1.42,0.5,0.47,0
Kepler-37 b,13.36731,0.1003,0,3.1783,0.336,459,,43.31,66,5417,4.57,-0.321,0.87,0.79,0
Kepler-37 c,21.302,0.1368,0.09,12,0.75,,,22.79,66,5417,4.57,-0.321,0.87,0.79,0
Kepler-37 d,39.7922,0.2076,0.15,12.2,1.94,,,9.9,66,5417,4.57,-0.321,0.87,0.79,0
Kepler-37 e,51.196,,,,,,,,66,5417,4.57,-0.321,0.87,0.79,0
Kepler-370 b,4.57953,0.054,,3.15,1.59,4.31,,361.51,1078,5852,4.53,-0.013,0.98,0.9,0
Kepler-370 c,19.02293,0.14,,4.31,1.91,3.4,,54.2,1078,5852,4.53,-0.013,0.98,0.9,0
Kepler-371 b,34.763278,0.2,,4.23,1.89,3.44,,41.74,603,5666,4.39,0.193,0.93,0.99,0
Kepler-371 c,67.968015,0.313,,3.82,1.78,3.72,,17.06,603,5666,4.39,0.193,0.93,0.99,0
Kepler-372 b,6.849692,0.075,,2.42,1.36,5.29,,384.63,1378,6509,4.41,0.319,1.12,1.14,0
