Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
Kepler-1458 b,47.9872764,,,8.05,2.76,2.1,,8.29,642.0,5653.0,4.48,-0.3,0.96,0.94,0
Kepler-1459 b,62.8691611,,,2.42,1.36,5.29,,3.51,435.0,4828.0,4.61,-0.583,0.78,0.74,0
Kepler-146 b,31.158799,0.2,,13.3,3.71,1.43,,32.89,799.0,5948.0,4.31,0.079,1.1,1.21,0
Kepler-146 c,76.732171,0.364,,9.96,3.13,1.78,,9.89,799.0,5948.0,4.31,0.079,1.1,1.21,0
Kepler-1460 b,29.9633247,,,4.5,1.96,3.28,,5.47,574.0,4422.0,4.64,-0.877,0.7,0.67,0
Kepler-1461 b,29.3494775,,,4.78,2.03,3.14,,8.88,752.0,4919.0,4.6,-0.682,0.79,0.74,0
Kepler-1462 b,65.6488341,,,14.0,3.82,1.38,,4.7,1368.0,5756.0,4.45,-0.384,1.0,1.0,0
Kepler-1463 b,25.15864,,,4.12,1.86,3.52,,57.63,1341.0,5679.0,4.47,0.091,0.96,0.95,0
Kepler-1464 b,31.7785901,,,3.39,1.66,4.07,,89.47,692.0,5828.0,4.44,0.388,1.02,1.01,0
Kepler-1464 c,5.32786292,,,0.972,1.0,5.34,,968.55,692.0,5828.0,4.44,0.388,1.02,1.01,0
Kepler-1465 b,31.8277111,,,3.78,1.77,3.75,,6.25,350.0,4726.0,4.62,-0.719,0.75,0.71,0
Kepler-1466 b,31.1750448,,,3.02,1.55,4.46,,21.88,686.0,5884.0,4.43,-0.059,1.01,1.02,0
Kepler-1467 b,47.0569043,,,10.9,3.3,1.67,,7.92,890.0,5332.0,4.55,-0.406,0.86,0.82,0
Kepler-1468 b,8.23984869,,,3.64,1.73,3.86,,481.35,1130.0,5893.0,4.42,0.508,1.04,1.05,0
Kepler-1468 c,3.54553021,,,1.6,1.15,5.78,,1479.57,1130.0,5893.0,4.42,0.508,1.04,1.05,0
Kepler-1469 b,21.8635301,,,8.25,2.8,2.07,,24.9,1255.0,5507.0,4.51,-0.328,0.92,0.89,0
Kepler-147 b,12.610584,0.113,,2.96,1.53,4.54,,224.61,902.0,6012.0,4.18,0.371,1.14,1.47,0
Kepler-147 c,33.416423,0.216,,6.48,2.43,2.48,,61.29,902.0,6012.0,4.18,0.371,1.14,1.47,0
Kepler-1470 b,16.2950903,,,1.24,1.07,5.56,,23.92,569.0,4961.0,4.59,-0.545,0.8,0.76,0
Kepler-1471 b,3.63899398,,,2.57,1.41,5.04,,314.23,1059.0,5660.0,4.48,-0.207,0.95,0.93,0
Kepler-1472 b,38.1312831,,,4.27,1.9,3.42,,57.08,1269.0,6159.0,4.31,0.411,1.16,1.25,0
Kepler-1473 b,14.4273551,,,1.81,1.19,5.9,,111.01,625.0,6046.0,4.4,0.164,1.09,1.09,0
Kepler-1474 b,36.4333452,,,5.31,2.16,2.9,,21.39,1214.0,5870.0,4.42,-0.027,1.04,1.04,0
Kepler-1475 b,82.177374,,,8.85,2.92,1.95,,13.76,1714.0,6214.0,4.29,0.191,1.18,1.28,0
Kepler-1476 b,10.35863224,,,3.43,1.67,4.05,,75.64,1218.0,5663.0,4.47,-0.248,0.98,0.96,0
