pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_lum,st_logg,ESI,isHabitable
Kepler-1321 d,1,3,5.72092009,0.0501,2.628,7.41,3640,0.5,0.51,-0.862,4.74,0.325496758,0
Kepler-10 c,1,3,45.294301,0.241,2.355,11.4,5708,1.06,0.91,0.055,4.34,0.325493057,0
Kepler-809 b,1,1,55.63934,0.2901,3.01,9.32,5734,0.98,0.99,0.001,4.45,0.324991958,0
Kepler-1860 b,1,1,12.73719978,0.1021,1.139,1.55,5420,0.87,0.87,-0.181,4.5,0.324987967,0
Kepler-124 c,1,3,13.821375,0.1,1.75,3.71,4984,0.64,0.84,-0.467,4.67,0.324765284,0
Kepler-1050 c,1,2,21.1284569,0.1622,1.48,2.79,6010,1.13,1.09,0.059,4.37,0.324705586,0
Kepler-51 c,1,3,85.312,0.384,9,4,6018,0.94,1.04,-0.142,4.51,0.324658656,0
Kepler-1475 b,1,1,82.177374,0.373,2.92,8.85,6214,1.28,1.18,0.254,4.29,0.32462004,0
Kepler-197 e,2,4,25.209715,0.164,0.91,0.693,6004,1.12,0.86,0.222,4.3,0.324528151,0
Kepler-1007 b,1,1,5.18500207,0.048,1.44,2.67,4587,0.7,0.73,-0.568,4.62,0.32451209,0
Kepler-52 b,1,3,7.8773565,0.0637,2.1,135,4075,0.52,0.54,-0.996,4.74,0.324493851,0
Kepler-1316 b,1,1,87.9732136,0.3859,3.54,12.3,5884,1.12,1.04,0.253,4.36,0.324404039,0
Kepler-379 c,1,2,62.784697,0.326,2.29,5.86,6054,1.31,1.15,0.28,4.27,0.324383626,0
Kepler-1564 b,1,1,18.0540381,0.1327,1.47,2.76,5528,0.9,0.93,-0.135,4.5,0.32425837,0
Kepler-250 d,1,3,17.648312,0.127,2.18,5.39,5160,0.81,0.83,-0.457,4.57,0.324216412,0
Kepler-1124 b,1,1,2.85234897,0.0305,1.28,2.18,3658,0.34,0.35,-1.323,4.93,0.324205029,0
Kepler-220 c,1,4,9.034199,0.076,1.57,3.09,4632,0.67,0.65,-0.676,4.65,0.324203499,0
Kepler-1391 b,1,1,54.4092333,0.2768,1.68,3.46,5840,1.1,1.03,0.439,4.36,0.32411185,0
Kepler-1577 b,1,1,6.30560247,0.0657,1.13,1.51,4862,0.74,0.78,-0.607,4.6,0.324075596,0
K2-148 b,2,3,4.38395,0.0454,1.33,2.33,4079,0.63,0.65,-0.996,4.65,0.323807165,0
Kepler-189 c,1,2,20.134866,0.137,2.38,22.7,5235,0.75,0.79,-0.448,4.62,0.323607398,0
Kepler-62 c,1,5,12.4417,0.0929,0.54,4,4925,0.64,0.69,-0.678,4.68,0.323551575,0
Kepler-1294 b,1,1,115.6862258,0.4684,3.19,10.3,5776,0.97,0.99,0.421,4.46,0.323324876,0
Kepler-364 c,1,2,59.980627,0.312,2.15,5.27,6108,1.28,1.19,0.351,4.27,0.323305754,0
