pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_lum,st_logg,ESI,isHabitable
Kepler-37 c,1,4,21.301848,0.139,0.755,1.3,5357,0.79,0.79,-0.322,4.57,0.361411889,0
HD 23472 f,1,5,12.1621839,0.0906,1.137,0.77,4684,0.71,0.67,-0.625,4.53,0.360866918,0
Kepler-345 c,1,2,9.387427,0.077,1.2,2.2,4504,0.62,0.61,-0.495,4.68,0.360440582,0
K2-233 d,1,3,24.3645,0.15224,2.358,21.14,5033,0.71,0.79,-0.523,4.64,0.360376534,0
Kepler-87 c,1,2,191.2318,0.676,6.14,6.4,5600,1.82,1.1,0.326,3.96,0.360292956,0
Kepler-1190 b,1,1,10.45843441,0.0845,1.33,2.33,4730,0.72,0.76,-0.727,4.62,0.360276146,0
TOI-1227 b,1,1,27.36397,0.0886,9.572,66.5,3072,0.56,0.17,-2.6,4.44,0.359275253,0
Kepler-389 c,1,2,14.51143,0.11,1.46,2.73,5376,0.79,0.81,-0.516,4.57,0.359002419,0
Kepler-353 b,2,2,5.795278,0.051,0.89,0.64,3903,0.5,0.55,-1.187,4.75,0.358985025,0
HD 23472 b,1,5,17.667087,0.1162,2,8.32,4684,0.71,0.67,-0.625,4.53,0.358861464,0
Kepler-258 c,1,2,33.653079,0.193,3.61,12.7,4942,0.92,0.82,-0.575,4.44,0.358482859,0
Kepler-194 d,1,3,52.814973,0.275,2.4,6.35,6089,1.02,1.09,0.043,4.42,0.358372112,0
Kepler-352 c,1,3,16.332995,0.118,1.24,2.07,5212,0.78,0.83,-0.432,4.57,0.357816283,0
Kepler-327 c,1,3,5.212333,0.047,1.03,20.3,3799,0.49,0.59,-1.26,4.76,0.357765326,0
HD 95338 b,1,1,55.087,0.262,3.89,42.44,5212,0.87,0.83,-0.31,4.54,0.357582416,0
Kepler-615 b,1,1,10.35584657,0.085,1.74,3.68,4655,0.69,0.73,-0.695,4.62,0.357555896,0
Kepler-185 c,1,2,20.729042,0.139,2.02,4.74,5208,0.81,0.81,-0.504,4.54,0.357529663,0
Kepler-1466 b,1,1,31.1750448,0.1942,1.55,3.02,5884,1.02,1.01,-0.023,4.43,0.357350565,0
Kepler-1904 b,1,1,4.57702017,0.0436,1.39,2.51,3805,0.5,0.53,-1.298,4.77,0.357225373,0
Kepler-1447 b,1,1,56.6747285,0.2836,2.9,8.75,5722,0.95,0.97,-0.042,4.47,0.357152448,0
Kepler-1938 b,1,1,13.06260014,0.0938,1.828,4,4522,0.66,0.65,-0.65,4.62,0.356808766,0
Kepler-533 b,1,1,28.51120525,0.165,3.38,11.4,4758,0.72,0.78,-0.62,4.61,0.355760428,0
Kepler-539 b,1,2,125.63243,0.4988,8.373,308.2951,5820,0.95,1.05,-0.06,4.5,0.355640481,0
K2-4 b,1,1,10.003417,0.078,2.1,5.06,4014.73,0.57,0.64,-0.915,4.85,0.355525576,0
Kepler-1775 b,1,1,85.65399933,0.3986,3.648,12.9,5818,1.65,1.15,0.246,4.07,0.355384093,0
Kepler-1018 b,1,1,49.1013514,0.253,2.58,7.18,5518,0.88,0.91,-0.082,4.52,0.355312284,0
Kepler-62 d,1,5,18.16406,0.12,1.95,14,4925,0.64,0.69,-0.678,4.68,0.355002273,0
Kepler-632 b,1,1,30.99660733,0.1885,2.21,5.52,5322,0.84,0.91,-0.292,4.55,0.354940083,0
Kepler-49 c,1,4,10.9129343,0.07821,2.55,5.9,3974,0.53,0.55,-1.131,4.73,0.35472334,0
Kepler-1074 b,1,1,5.94566534,0.0536,1.25,2.1,4002,0.57,0.6,-1.121,4.7,0.354621823,0
Kepler-1378 b,1,1,11.95398936,0.0885,2.2,5.48,4407,0.67,0.7,-0.903,4.63,0.354499418,0
KOI-3503 c,1,2,31.828,0.1911,1.21,10.36,6001,1.25,0.86,0.3,4.54,0.354127356,0
Kepler-1524 b,1,1,70.9674603,0.3392,3.54,12.3,6179,1.25,1.17,-0.006,4.31,0.353978778,0
TOI-2194 b,1,1,15.337597,,1.989,4.61,4756,0.69,0.74,-0.69,4.7,0.35387259,0
HD 109286 b,1,1,520.1,1.259,13.2,950.30694,5694,1.09,0.98,-0.084,4.44,0.353100706,0
Kepler-1246 b,1,1,11.32271513,0.0848,1.36,2.42,4611,0.69,0.73,-0.727,4.63,0.353046062,0
Kepler-1536 b,1,1,364.758031,0.8507,3.14,10,4434,0.67,0.71,-0.822,4.64,0.353001456,0
Kepler-460 c,1,2,220.1303357,0.7211,5.52,26.1,6146,1.26,1.17,0.641,4.3,0.352898514,0
Kepler-1702 b,1,1,18.5012,0.1275,1.602,3.2,5093,0.73,0.85,-0.496,4.65,0.352877077,0
Kepler-1309 b,1,1,28.8432647,0.1679,2.37,6.21,5235,0.8,0.85,-0.603,4.56,0.352761083,0
Kepler-1453 b,1,1,47.1611696,0.262,2.67,7.61,5665,0.94,0.97,-0.14,4.48,0.352534935,0
Kepler-227 c,1,2,54.418694,0.29,3.04,9.48,5854,1.09,0.92,-0.121,4.4,0.352232674,0
Kepler-276 d,1,3,48.648,0.2642,2.8,16.3,5779,1.03,1.1,-0.089,4.46,0.35199747,0
Kepler-1918 b,1,1,47.0564003,0.2524,2.298,5.89,5889,0.92,0.97,-0.308,4.49,0.351980253,0
Kepler-146 c,1,2,76.732171,0.364,3.13,9.96,5948,1.21,1.1,0.148,4.31,0.351675165,0
K2-155 b,1,3,6.342,0.0562,1.8,3.89,4258,0.58,0.65,-1.229,4.6,0.351167166,0
Kepler-1708 b,1,1,737.1131,1.64,9.96,1462.01067,6157,1.12,1.09,0.182,4.37,0.351077686,0
Kepler-995 b,1,1,28.26731672,0.1701,2.7,7.75,5206,0.8,0.83,-0.419,4.57,0.350692512,0
Kepler-26 d,1,4,3.543919,0.039,1.07,1.24,4486,0.57,0.62,-1.06,4.73,0.350512823,0
Kepler-1507 b,1,1,16.0506213,0.1234,0.84,0.52,5410,0.85,0.89,-0.324,4.53,0.350425147,0
Kepler-1709 b,1,1,65.70459747,0.3192,3.124,9.93,5918,1.04,1,0.115,4.4,0.350338002,0
Kepler-1902 b,1,1,3.82222009,0.0385,1.176,1.74,3729,0.51,0.52,-1.117,4.73,0.350144453,0
Kepler-581 b,1,1,40.6069821,0.2259,2.63,7.41,5772,1,1,-0.169,4.44,0.350031315,0
Kepler-283 b,1,2,11.008151,0.082,2.13,5.18,4351,0.57,0.6,-0.983,4.72,0.349903832,0
Kepler-1919 b,1,1,37.88660049,0.2107,2.624,7.38,5513,0.82,0.87,-0.274,4.55,0.349727203,0
Kepler-1013 b,1,1,18.93054959,0.137,2.15,5.27,4954,0.76,0.81,-0.531,4.59,0.349690774,0
Kepler-436 c,1,2,16.79713874,0.1158,2.33,6.04,4685,0.71,0.75,-0.731,4.62,0.349577754,0
Kepler-1025 b,1,1,37.3229493,0.3344,1.98,4.58,6089,1.13,1.09,0.287,4.37,0.349575142,0
K2-48 b,1,1,20.5065,0.1344,2.24,5.65,4899,0.73,0.77,-0.657,4.6,0.349457131,0
Kepler-1092 b,1,1,58.6017925,0.2996,2.07,4.94,5862,1,0.99,0.096,4.44,0.34914262,0
K2-16 c,1,3,19.07863,0.1229,2.54,6.99,4742,0.66,0.68,-0.761,4.51,0.348762931,0
Kepler-607 c,1,2,39.67679977,0.2122,2.76,8.05,5244,0.89,0.81,-0.382,4.45,0.348280935,0
Kepler-553 c,1,2,328.2399546,0.9084,11.2,,5266,0.85,0.92,-0.261,4.55,0.348232448,0
Kepler-1064 b,1,1,16.54080322,0.1183,1.55,3.02,5153,0.79,0.85,-0.401,4.57,0.348176344,0
K2-136 b,2,3,7.9752,0.0707,1.014,4.3,4500,0.68,0.74,-0.777,4.68,0.348086663,0
Kepler-122 f,1,5,56.268,0.287,1.75,36,6102,0.95,1.03,0.27,4.35,0.347847497,0
Kepler-858 b,1,1,76.13602028,0.3403,4.87,21.1,5653,0.91,0.96,-0.113,4.5,0.347056948,0
TOI-1260 d,1,3,16.608164,0.1116,3.12,11.84,4227,0.67,0.68,-0.889,4.57,0.346922191,0
Kepler-1347 b,1,1,14.00947528,0.104,1.03,1.08,5193,0.79,0.82,-0.388,4.57,0.346752757,0
Kepler-930 b,1,1,71.4517775,0.3475,2.13,5.18,6335,1.4,1.25,0.378,4.24,0.346647776,0
Kepler-224 e,1,4,18.643577,0.124,1.97,4.54,5018,0.68,0.82,-0.514,4.64,0.346526277,0
HD 28109 b,1,3,22.89104,0.1357,2.199,18.496,6120,1.45,1.26,0.456,4.13,0.346185811,0
Kepler-299 e,1,4,38.285489,0.22,1.87,4.16,5617,1.03,0.95,-0.044,4.39,0.346153976,0
Kepler-1846 b,1,1,14.82009983,0.1089,1.764,3.76,4825,0.73,0.79,-0.53,4.6,0.345693333,0
Kepler-288 d,1,3,56.633742,0.287,2.67,7.61,5918,1.09,1.03,0.056,4.35,0.345600741,0
Kepler-1863 b,1,1,44.99760056,0.2555,2.263,5.74,5871,0.98,1.1,0.41,4.49,0.345472417,0
Kepler-566 b,1,1,18.42794624,0.1247,2.15,5.27,5132,0.79,0.83,-0.524,4.57,0.345361826,0
Kepler-399 b,1,3,14.425281,0.103,0.96,0.84,5502,0.68,0.9,-0.418,4.62,0.344767072,0
Kepler-325 d,1,3,38.715185,0.22,2.79,8.2,5752,1,0.92,-0.255,4.41,0.344620008,0
Kepler-55 f,1,5,10.198545,0.081,1.59,3.15,4503,0.62,0.63,-0.763,4.68,0.344606661,0
Kepler-20 f,2,6,19.578328,0.1387,0.952,1.4,5495,0.92,0.93,-0.165,4.45,0.344318369,0
Kepler-1094 b,1,1,78.1000231,0.3625,3.18,10.2,6112,1.21,1.14,0.178,4.33,0.343931451,0
Kepler-1907 c,1,2,14.86390018,0.1076,1.155,1.63,5159,0.8,0.75,-0.625,4.51,0.343795475,0
Kepler-286 e,1,4,29.221289,0.176,1.77,3.78,5580,0.86,0.96,-0.116,4.5,0.343768168,0
Kepler-1505 b,1,1,30.8609366,0.1862,0.93,0.749,5686,0.86,0.93,0.149,4.54,0.343744442,0
Kepler-1633 b,1,1,186.404271,0.3875,1.58,3.12,6256,1.32,1.2,0.646,4.27,0.343055115,0
TOI-1899 b,1,1,29.02,0.1587,12.89,209.7678,3841,0.61,0.63,-1.057,4.67,0.343033962,0
Kepler-267 c,1,3,6.87745,0.06,2.13,5.18,4258,0.56,0.54,-1.229,4.73,0.342896235,0
Kepler-558 b,1,1,29.00790538,0.1759,2.37,6.21,5242,0.81,0.85,-0.384,4.56,0.342712872,0
Kepler-1927 b,1,1,73.75039673,0.3859,3.406,11.5,6056,2.48,1.41,0.774,3.8,0.342521931,0
Kepler-262 c,1,2,21.853722,0.152,1.64,3.33,5841,0.88,0.99,-0.14,4.54,0.342457458,0
Kepler-196 b,1,3,20.739886,0.138,1.9,4.27,5128,0.78,0.85,-0.393,4.57,0.34232938,0
Kepler-186 b,1,5,3.8867907,0.0343,1.07,1.24,3788,0.47,0.48,-1.385,4.77,0.342153691,0
Kepler-1741 b,1,1,2.75759006,0.0296,1.273,2.16,3683,0.42,0.45,-1.242,4.84,0.342144693,0
Kepler-1441 b,1,1,39.4419839,0.2346,1.31,2.27,5802,1,1,0.325,4.45,0.341949316,0
Kepler-131 c,1,2,25.5169,0.1684,0.84,8.25,5685,1.03,1.02,0.022,4.42,0.341893015,0
TOI-1749 d,1,3,9.0497,0.0707,2.52,15,3985,0.55,0.58,-1.156,4.7,0.341440235,0
Kepler-102 d,1,5,10.311767,0.08618,1.154,3,4909,0.72,0.8,-0.584,4.6,0.341256135,0
Kepler-1424 b,1,1,29.6091744,0.1861,1.16,1.65,5838,1.07,1.02,0.271,4.39,0.340826971,0
Kepler-316 c,1,2,6.827766,0.058,1.16,1.65,4204,0.52,0.59,-0.936,4.74,0.340492349,0
K2-58 d,1,3,22.8827,0.1517,1.71,3.57,5413,0.86,0.89,-0.412,4.52,0.340479567,0
Kepler-103 c,1,2,179.60978,0.6639,5.45,38,6009,1.49,1.21,0.424,4.16,0.340462047,0
HD 7924 d,1,3,24.451,0.1551,2.42,6.44,5075,0.78,0.83,-0.414,4.59,0.340383717,0
Kepler-81 c,1,3,12.04,0.08347,2.37,4.3,4385,0.59,0.64,-0.889,4.7,0.340315746,0
Kepler-1992 b,1,1,15.6112238,0.1169,0.91,0.693,5383,0.84,0.87,-0.009,4.53,0.339752012,0
Kepler-1008 b,2,1,12.43931193,0.0951,1.28,2.18,5066,0.78,0.81,-0.507,4.56,0.339504005,0
Kepler-126 d,1,3,100.283134,0.448,2.5,6.8,6239,1.36,1.18,0.452,4.25,0.339086235,0
TOI-1468 b,1,2,1.8805136,,1.28,3.21,3496,0.34,0.34,-1.797,5,0.338684561,0
Kepler-1273 b,1,1,28.625653,0.1857,2.49,6.76,5566,0.91,0.94,-0.305,4.5,0.338501087,0
K2-266 c,2,4,7.814,0.0679,0.705,0.29013,4285,0.7,0.69,-0.823,4.58,0.338492087,0
Kepler-974 b,1,1,4.19449651,0.0419,1.57,3.09,3687,0.5,0.52,-1.354,4.76,0.338469877,0
Kepler-1083 b,1,1,33.4177993,0.1899,3.36,11.2,5049,0.77,0.81,-0.473,4.58,0.338196523,0
Kepler-85 d,1,4,17.91323,0.13,1.2,1.87,5436,0.89,0.87,-0.212,4.49,0.338183964,0
Kepler-1761 b,1,1,4.04354,0.0413,1.391,2.51,3871,0.53,0.57,-1.17,4.74,0.338179776,0
Kepler-1675 b,1,1,63.0382,0.3076,3.125,9.93,5853.19,1.13,1.06,0.129,4.36,0.338103213,0
Kepler-977 b,1,1,26.85328322,0.162,2.62,7.37,5315,0.83,0.87,-0.476,4.55,0.337993938,0
Kepler-384 c,1,2,45.348269,0.236,1.13,1.51,5577,0.88,0.97,0.396,4.47,0.337908206,0
K2-25 b,1,1,3.48456408,0.0287,3.44,24.5,3207,0.29,0.26,-2.088,4.94,0.337685967,0
Kepler-369 b,1,2,2.732756,0.03,1.13,1.51,3591,0.47,0.5,-1.42,4.79,0.337685819,0
Kepler-1697 b,1,1,33.4969,0.2008,1.26,2.12,4681.53,0.77,0.75,-0.588,4.54,0.337663769,0
Kepler-225 b,1,2,6.738975,0.056,1.2,1.87,3682,0.48,0.59,-0.996,4.78,0.337597156,0
Kepler-242 c,1,2,14.496481,0.109,2,4.66,5020,0.85,0.81,-0.613,4.49,0.337585141,0
Kepler-1752 b,1,1,56.35850143,0.2698,4.541,18.7,5446,0.82,0.82,-0.398,4.53,0.337391165,0
Kepler-1140 b,1,1,24.0862707,0.1478,2.77,8.1,4850,0.73,0.76,-0.566,4.61,0.337302292,0
Kepler-950 b,1,1,98.7180406,0.3982,8.98,59.6,5857,1.02,1.02,0.355,4.44,0.337100001,0
Kepler-398 d,1,3,6.83437001,0.0618,0.88,0.615,4557,0.67,0.72,-0.811,4.64,0.336974995,0
Kepler-154 c,1,5,62.303276,0.303,2.95,9.01,5690,1,0.98,0.033,4.42,0.336881124,0
Kepler-345 b,1,2,7.415563,0.066,0.74,0.5,4504,0.62,0.61,-0.495,4.68,0.336823182,0
Kepler-1802 b,1,2,15.45020008,0.0662,1.671,3.43,4245,0.64,0.65,-0.925,4.64,0.336744638,0
Kepler-795 b,2,1,29.6193421,0.1817,1.68,3.46,5631,0.96,0.94,-0.022,4.45,0.33654562,0
Kepler-421 b,1,1,704.1984,1.219,4.16,16.1,5308,0.76,0.79,-0.398,4.61,0.336532245,0
Kepler-252 b,1,2,6.668391,0.058,1.23,2.04,4208,0.55,0.61,-0.786,4.72,0.336257353,0
K2-136 c,2,3,17.30713,0.1185,3,18.1,4500,0.68,0.74,-0.777,4.68,0.335977453,0
K2-13 b,1,1,39.91488,0.2114,1.89,4.23,5698,0.78,0.8,-0.135,4.33,0.335842977,0
Kepler-1910 b,1,1,5.68876982,0.0536,1.184,1.78,4234,0.64,0.64,-0.927,4.63,0.335782089,0
HD 21749 c,1,2,7.78993,0.0695,0.892,3.7,4640,0.7,0.73,-0.686,4.61,0.335419495,0
TOI-2443 b,1,1,15.669494,,2.773,8.11,4357,0.73,0.66,-0.817,4.71,0.335258798,0
Kepler-164 e,1,4,94.886902,0.4025,4.24,16.7,5888,1.1,0.97,0.113,4.34,0.334841701,0
Kepler-940 b,1,1,59.6225257,0.3059,3.34,11.1,5769,0.96,0.97,-0.057,4.47,0.334799473,0
K2-148 c,2,3,6.9226,0.0616,1.73,3.64,4079,0.63,0.65,-0.996,4.65,0.334549425,0
Kepler-519 b,2,1,24.3078946,0.1594,2.1,5.06,5260,0.8,0.89,-0.335,4.58,0.334443657,0
Kepler-1496 b,1,1,64.6588017,0.3211,2.22,5.56,6182,1.27,1.18,0.304,4.29,0.334119843,0
K2-146 b,1,2,2.6446,0.0248,2.05,5.77,3385,0.33,0.33,-1.824,4.9,0.334053265,0
Kepler-106 d,1,4,23.9802,0.1602,0.95,8.1,5858,1.04,1,0.083,4.41,0.333843,0
Kepler-243 c,1,2,20.026218,0.142,1.99,4.62,5228,0.84,0.83,-0.373,4.57,0.333789552,0
K2-154 c,1,2,7.95486,0.0677,2.07,4.94,4097,0.63,0.65,-1.018,4.65,0.333684808,0
Kepler-777 b,1,1,5.72812599,0.0519,1.47,2.76,4043,0.56,0.58,-0.968,4.71,0.333675314,0
TOI-4562 b,1,1,225.11781,0.768,12.53,732,6096,1.15,1.19,0.253,4.39,0.33337326,0
K2-83 b,1,2,2.74697,0.03014,1.244,2.08,3910,0.42,0.48,-1.204,4.86,0.333351235,0
Kepler-176 d,1,4,25.751974,0.163,2.51,15.2,5232,0.89,0.79,-0.404,4.47,0.33332942,0
Kepler-1319 b,2,1,2.88676265,0.0296,1.34,2.36,3655,0.54,0.56,-1.457,4.73,0.333276447,0
Kepler-1514 b,1,2,217.83184,0.753,12.42,1678.1424,6145,1.29,1.2,0.328,4.29,0.332962207,0
Kepler-1624 b,1,1,3.29030452,0.0327,5.7,27.6,3636,0.47,0.5,-1.323,4.78,0.332956843,0
Kepler-390 c,2,2,13.060022,0.101,0.79,0.418,5166,0.78,0.86,-0.352,4.57,0.332780433,0
HD 260655 b,1,2,2.76953,0.02933,1.24,2.14,3803,0.44,0.44,-1.44,5.2,0.33276314,0
K2-91 b,1,1,1.419549,0.0164,1.1,1.37,3622,0.28,0.29,-1.841,5,0.332683031,0
Kepler-351 b,1,3,37.054919,0.214,3.06,4.8,5643,0.85,0.81,-0.386,4.56,0.332539239,0
GJ 486 b,1,1,1.467119,0.01734,1.305,2.82,3340,0.33,0.32,-1.917,4.89,0.332503185,0
Kepler-206 d,1,3,23.44281,0.163,1.19,1.81,5764,1.19,1.05,0.084,4.31,0.332342108,0
Kepler-319 d,1,3,31.781925,0.191,2.29,5.86,5526,0.9,0.96,-0.181,4.49,0.332234201,0
Kepler-1114 b,1,1,14.97435694,0.1102,1.35,2.39,5374,0.83,0.87,-0.293,4.55,0.331854298,0
Kepler-926 b,1,1,52.0688601,0.2739,2.31,5.95,5806,1.01,1.01,0.173,4.43,0.331527813,0
Kepler-616 d,1,3,51.06740189,0.2749,2.653,7.52,6004,0.98,1.06,-0.111,4.48,0.331288339,0
K2-117 c,1,2,5.444017,0.0492,2.06,4.9,3778,0.51,0.54,-1.357,4.75,0.331001711,0
K2-5 b,1,2,5.73594,0.0532,1.91,4.31,3930,0.57,0.61,-1.083,4.71,0.330895086,0
K2-69 b,1,1,7.06599,0.0591,2.32,5.99,4127,0.49,0.55,-1.356,4.79,0.330893777,0
Kepler-362 c,1,2,37.866281,0.207,1.45,2.7,5788,0.72,1.02,0.209,4.64,0.330779452,0
Kepler-310 b,1,3,13.930698,0.111,1.19,1.81,5797,0.88,0.91,-0.239,4.52,0.330741238,0
Kepler-189 b,1,2,10.399931,0.088,1.21,1.92,5235,0.75,0.79,-0.448,4.62,0.330682231,0
Kepler-1687 b,1,1,5.77954,0.0532,1.656,3.38,4132,0.73,0.65,-0.859,4.53,0.330653371,0
Kepler-1956 b,1,1,5.94371986,0.0563,1.089,1.32,4391,0.68,0.67,-1.045,4.6,0.330571062,0
Kepler-1116 b,1,1,41.6977827,0.233,2.54,6.99,5641,0.93,0.95,-0.147,4.48,0.3302904,0
Kepler-595 c,1,2,12.38602,0.0983,1.009,3.3,5138.5,0.82,0.93,-0.348,4.46,0.330193488,0
K2-59 b,1,2,20.6921,0.1354,2.41,6.39,5055,0.73,0.77,-0.66,4.59,0.329991739,0
Kepler-1060 b,1,1,46.8779367,0.2495,2.38,6.26,5797,0.99,0.99,0.072,4.44,0.329987237,0
K2-62 c,1,2,16.1966,0.1148,2.14,5.22,4880,0.73,0.77,-0.781,4.6,0.329818531,0
Kepler-1135 b,1,1,76.957857,0.3436,1.85,4.08,5656,0.94,0.96,0.437,4.47,0.329815875,0
Kepler-1049 b,1,1,3.27346074,0.0349,0.95,0.809,3864,0.49,0.51,-1.14,4.77,0.329811611,0
Kepler-1254 b,1,3,9.99113313,0.0833,1.55,3.02,4985,0.75,0.78,-0.572,4.59,0.329772143,0
Kepler-1440 b,1,1,39.859484,0.2274,1.26,2.13,5698,0.96,0.98,0.377,4.46,0.329698295,0
Kepler-1089 b,1,1,5.13248562,0.0497,1.83,4.01,3753,0.49,0.52,-1.297,4.76,0.329665589,0
Kepler-404 b,1,2,11.829851,0.102,1.27,2.15,5654,0.88,0.93,-0.337,4.54,0.329538721,0
Kepler-551 b,1,1,12.3764661,0.0893,2.73,7.9,4286,0.63,0.65,-0.895,4.66,0.329420817,0
Kepler-151 c,1,2,24.674612,0.16,2.09,5.02,5460,0.83,0.87,-0.334,4.55,0.32931138,0
Kepler-252 c,1,2,10.848463,0.08,2.15,5.27,4208,0.55,0.61,-0.786,4.72,0.329232376,0
HD 23472 e,1,5,7.90754,0.068,0.818,0.72,4684,0.71,0.67,-0.625,4.53,0.329195641,0
Kepler-672 b,1,1,38.3774623,0.2163,2.5,6.8,5627,0.92,0.95,-0.112,4.5,0.329156787,0
Kepler-334 d,1,3,25.09849,0.168,1.41,2.57,5828,1.07,1.07,0.056,4.38,0.329147196,0
Kepler-102 e,1,5,16.1456994,0.1162,2.17,4.7,4909,0.72,0.8,-0.584,4.6,0.328923274,0
Kepler-1669 d,1,3,4.72941177,0.0468,1.22,1.98,4224,0.6,0.61,-0.803,4.66,0.328779599,0
Kepler-759 b,1,1,41.805985,0.2329,2.27,5.77,5860,1.04,1.04,0.061,4.42,0.328596983,0
Kepler-1731 b,1,1,21.76129913,0.1401,2.933,8.92,4859,0.72,0.78,-0.6,4.61,0.328357563,0
Kepler-898 b,1,1,5.8706191,0.0545,1.49,2.83,4223,0.62,0.65,-0.875,4.66,0.32835195,0
KOI-3680 b,1,1,141.241671,0.534,11.097,613.4119,5830,0.96,1.01,0.068,4.47,0.328301757,0
Kepler-1457 b,1,1,51.1110243,0.2668,1.99,4.62,5866,1.01,1.01,0.215,4.43,0.328284159,0
Kepler-329 b,1,2,7.416397,0.061,1.4,2.54,4257,0.52,0.6,-0.971,4.74,0.328246315,0
KOI-3503 b,1,2,21.185,0.1462,1.19,9.2,6001,1.25,0.86,0.3,4.55,0.328131802,0
Kepler-352 b,1,3,10.05537,0.085,0.86,0.566,5212,0.78,0.83,-0.432,4.57,0.327974736,0
Kepler-487 c,1,3,38.6519976,0.2141,2.68,7.65,5444,0.88,0.91,-0.173,4.51,0.327681005,0
TOI-712 b,1,3,9.531361,0.07928,2.049,4.85,4622,0.67,0.73,-0.728,4.65,0.32766407,0
Kepler-1175 b,1,1,37.94563,0.2181,2.99,9.22,5453,0.86,0.9,-0.34,4.53,0.327577633,0
Kepler-1030 b,1,1,19.32952416,0.1338,2.48,6.71,4983,0.76,0.8,-0.553,4.59,0.327434513,0
Kepler-174 b,1,3,13.98179,0.1,1.96,4.5,4880,0.62,0.6,-0.57,4.68,0.327255439,0
Kepler-1650 b,1,1,1.53818001,0.0167,0.96,0.84,3410,0.33,0.33,-1.871,4.86,0.327157445,0
HD 15906 c,1,2,21.583298,0.141,2.93,8.91,4757,0.76,0.79,-0.569,4.49,0.327037718,0
K2-344 b,1,1,3.35585,,1.59,3.15,4374,0.49,0.51,-1.225,4.76,0.326859706,0
Kepler-347 d,1,3,85.517344,0.3802,3.04,9.48,5592,1.45,1,0.342,4.12,0.326803605,0
Kepler-259 c,1,2,36.924931,0.217,2.7,7.75,5938,0.9,0.93,-0.153,4.53,0.32661851,0
Kepler-298 b,1,3,10.475464,0.08,1.96,4.5,4465,0.58,0.66,-0.733,4.71,0.326474671,0
Kepler-906 b,1,1,41.6979976,0.2359,2.11,5.1,6035,1.02,1.06,0.096,4.45,0.326265053,0
Kepler-1122 b,1,1,42.1917357,0.2315,2.04,4.82,5544,0.89,0.92,0.059,4.51,0.326150392,0
Kepler-386 b,1,2,12.31043,0.096,1.39,2.51,5178,0.77,0.82,-0.402,4.56,0.326077276,0
Kepler-1822 b,1,1,22.13339996,0.1416,2.648,7.5,5165,0.7,0.78,-0.286,4.63,0.325589768,0
Kepler-332 b,1,3,7.626324,0.07,1.17,1.71,4955,0.72,0.8,-0.584,4.61,0.325564626,0
Kepler-1986 b,1,1,19.5489666,0.1307,1.89,4.23,5549,0.73,0.78,-0.411,4.6,0.325559015,0
Kepler-1474 b,1,1,36.4333452,0.2108,2.16,5.31,5870,1.04,1.04,0.029,4.42,0.3255438,0
