pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,ESI,isHabitable
GJ 1002 c,21.202,0.0738,1.1,1.36,0.14,0.12,-2.852,0.518546839,1
TRAPPIST-1 g,12.352446,0.04683,1.129,1.321,0.12,0.09,-3.257,0.51047671,1
Kepler-452 b,384.843,1.046,1.63,3.29,1.11,1.04,0.084,0.814758613,1
Kepler-62 e,122.3874,0.427,1.61,36,0.64,0.69,-0.678,0.834712592,1
Kepler-1652 b,38.09722,0.1654,1.6,3.19,0.38,0.4,-1.638,0.757441837,1
Wolf 1061 c,17.8719,0.089,1.66,3.41,0.31,0.29,-1.991,0.823805249,1
Kepler-1410 b,60.866168,0.2543,1.78,3.82,0.6,0.63,-1.158,0.782997372,1
GJ 667 C c,28.14,0.125,1.77,3.8,,0.33,-1.863,0.8,1
Kepler-1544 b,168.811174,0.5421,1.78,3.82,0.74,0.81,-0.606,0.737837243,1
Kepler-283 c,92.743711,0.341,1.82,3.97,0.57,0.6,-0.983,0.758979289,1
Ross 508 b,10.77,0.05366,1.83,4,0.21,0.18,-2.445,0.77,1
Kepler-1638 b,259.33683,0.745,1.87,4.16,0.95,0.97,-0.114,0.678178218,1
Kepler-440 b,101.11141,0.242,1.86,4.12,0.56,0.57,-1.102,0.782776369,1
GJ 433 d,36.059,0.178,2.14,5.223,0.47,0.48,-1.475,0.74,1
Kepler-1653 b,140.2524,0.4706,2.17,5.35,0.69,0.72,-0.636,0.714770495,1
Kepler-705 b,56.0560538,0.232,2.11,5.1,0.51,0.53,-1.385,0.669506547,1
K2-332 b,17.70632,,2.2,5.48,0.28,0.27,-2.065,0.73,1
Kepler-155 c,52.661793,0.242,2.24,5.65,0.62,0.64,-1.21,0.728511293,1
TOI-2257 b,35.189346,0.145,2.194,5.45,0.31,0.33,-1.867,0.64257876,1
Kepler-443 b,177.6693,0.495,2.33,6.04,0.71,0.74,-0.664,0.675651777,1
Kepler-22 b,289.863876,0.812,2.1,9.1,0.87,0.86,-0.19,0.728130549,1
Kepler-1701 b,169.134,0.5608,2.222,5.57,0.84,0.87,-0.351,0.731477707,1
K2-18 b,32.939623,0.1429,2.37,8.92,0.41,0.36,-1.597,0.694074636,1
Kepler-1606 b,196.435224,0.6421,2.07,4.94,0.86,0.9,-0.171,0.75282255,1
K2-9 b,18.4498,0.091,2.25,5.69,0.31,0.3,-1.921,0.728035729,1
GJ 180 c,24.329,0.129,2.41,6.4,0.41,0.43,-1.886,0.69,1
GJ 163 c,25.63058,0.1254,2.5,6.8,0.41,0.4,-1.708,0.69,1
Kepler-1540 b,125.4131177,0.4426,2.49,6.76,0.69,0.74,-0.818,0.656715966,1
Kepler-174 d,247.35373,0.677,2.19,5.43,0.62,0.6,-0.57,0.592399872,1
HD 40307 g,197.8,0.6,2.56,7.1,0.72,0.77,-0.639,0.66,1
Kepler-296 f,63.33627,0.255,1.8,3.89,0.48,0.5,-1.569,0.667172207,1
HIP 38594 b,60.722,0.256,2.77,8.1,0.63,0.61,-1.062,0.65,1
K2-288 B b,31.393463,0.164,1.9,4.27,0.32,0.33,-1.93,0.65,1
HD 216520 c,154.43,0.528,3.03,9.44,0.76,0.82,-0.452,0.63,1
GJ 3293 d,48.1345,0.19394,2.67,7.6,0.4,0.42,-1.658,0.573836314,1
LHS 1140 b,24.73694,0.0957,1.635,6.38,0.21,0.19,-2.488,0.631134325,1
GJ 357 d,55.661,0.204,2.34,6.1,0.34,0.34,-1.798,0.510890024,1
GJ 682 b,17.478,0.08,1.93,4.4,0.3,0.27,-2.699,0.57,1
GJ 229 A c,121.93268,0.384,2.87,8.58137,0.46,0.51,-1.222,0.56,1
GJ 514 b,140.43,0.422,2.13,5.2,0.5,0.51,-1.367,0.468830684,1
GJ 180 d,106.3,0.309,2.66,7.56,0.41,0.43,-1.609,0.48,1
TOI-700 e,27.80978,0.134,0.953,0.818,0.42,0.42,-1.64,0.970205261,0
Kepler-438 b,35.23319,0.166,1.12,1.46,0.52,0.54,-1.357,0.958747656,0
Kepler-1512 b,20.35972599,0.1097,1.18,1.76,0.67,0.73,-1.695,0.918352353,0
Kepler-138 e,38.23,0.1803,0.797,0.43,0.54,0.54,-1.252,0.883783312,0
Kepler-1649 b,8.689099,0.0514,1.017,1.03,0.23,0.2,-2.287,0.831780797,0
TRAPPIST-1 c,2.421937,0.0158,1.097,1.308,0.12,0.09,-3.257,0.828734077,0
K2-72 c,15.189034,0.078,1.16,1.65,0.33,0.27,-1.837,0.825360247,0
K2-3 d,44.556456,0.2097,1.62,1.6,0.6,0.62,-1.15,0.823203314,0
Kepler-395 c,34.989262,0.177,1.32,2.3,0.56,0.62,-1.194,0.818906912,0
Kepler-1126 c,199.66876,0.6193,1.45,2.7,0.92,0.79,-0.099,0.805725519,0
TOI-2285 b,27.26955,0.1363,1.74,19.5,0.46,0.45,-1.542,0.804108877,0
TOI-1452 b,11.06201,0.061,1.672,4.82,0.28,0.25,-2.155,0.796851746,0
K2-133 e,26.5841,0.1346,1.73,3.64,0.46,0.46,-1.479,0.786938916,0
Kepler-1389 b,99.2530951,0.3869,1.77,3.78,0.74,0.81,-0.534,0.774068966,0
GJ 3323 b,5.3636,0.03282,1.23,2.02,0.12,0.16,-2.569,0.769444377,0
K2-155 d,40.718,0.1937,1.9,4.27,0.58,0.65,-1.229,0.769016222,0
YZ Cet d,4.65626,0.02851,1.03,1.09,0.16,0.14,-2.659,0.766617452,0
TOI-1266 c,18.80151,0.1058,1.56,2.2,0.42,0.45,-1.58,0.761633374,0
Kepler-1582 b,4.83817712,0.0316,1.49,2.83,0.3,0.28,-2.389,0.749250179,0
Wolf 1069 b,15.564,0.0672,1.08,1.26,0.18,0.17,-2.531,0.748523617,0
Kepler-1455 b,49.276764,0.2149,2.16,5.31,0.6,0.62,-1.141,0.737158508,0
Kepler-235 e,46.183669,0.213,2.22,5.56,0.55,0.58,-1.102,0.73196617,0
Kepler-61 b,59.87756,0.24861,2.15,5.27,0.62,0.64,-0.971,0.730824401,0
Kepler-560 b,18.47764449,0.0899,1.72,3.61,0.33,0.34,-1.717,0.723598962,0
Kepler-54 c,12.0717249,0.0809,1.23,19.8,0.5,0.51,-1.301,0.717691873,0
Kepler-1816 b,91.50099945,0.3648,1.968,4.53,0.71,0.79,-0.531,0.717275522,0
GJ 3929 c,15.04,0.081,2.26,5.71,0.32,0.31,-1.963,0.716814046,0
TOI-715 b,19.288004,0.083,1.55,3.02,0.24,0.23,-2.309,0.715153872,0
Kepler-439 b,178.1396,0.563,2.24,5.65,0.87,0.88,-0.236,0.710109089,0
Kepler-1090 b,198.680179,0.6364,2.25,5.69,0.82,0.86,-0.146,0.708854933,0
Kepler-1040 b,201.1214,0.6559,2.08,4.98,0.96,0.98,-0.044,0.708026753,0
Kepler-737 b,28.59915399,0.1422,1.96,4.5,0.48,0.51,-1.301,0.707620109,0
TOI-1468 c,15.532482,,2.064,6.64,0.34,0.34,-1.797,0.707520455,0
K2-125 b,21.750264,0.121,2.18,5.39,0.4,0.49,-1.641,0.705179115,0
Kepler-69 c,242.4613,0.64,1.71,3.57,0.93,0.81,-0.097,0.703126135,0
GJ 251 b,14.238,0.0818,1.83,4,0.36,0.36,-1.772,0.703116908,0
Kepler-437 b,66.65062,0.288,2.14,5.22,0.68,0.71,-0.762,0.698080529,0
TOI-712 d,84.8396,0.3405,2.474,6.68,0.67,0.73,-0.728,0.694597714,0
Kepler-26 e,46.827915,0.22,2.41,6.39,0.57,0.62,-1.06,0.694542304,0
Kepler-1052 c,180.921729,0.6135,2.3,5.9,0.85,0.94,-0.047,0.693633691,0
GJ 411 b,12.9394,0.07879,1.45,2.69,0.37,0.39,-1.71,0.692679082,0
Kepler-991 b,82.5342519,0.3104,2.54,6.99,0.61,0.64,-0.831,0.692379749,0
Kepler-446 d,5.148921,0.0403,1.35,2.39,0.24,0.22,-2.248,0.686723719,0
Kepler-298 d,77.473633,0.305,2.5,6.8,0.58,0.66,-0.733,0.68595341,0
Kepler-1549 b,214.886545,0.6687,2.57,7.13,0.84,0.88,-0.273,0.684978715,0
Kepler-1552 b,184.771853,0.6045,2.47,6.66,0.78,0.85,-0.201,0.68167998,0
Kepler-1545 b,163.692349,0.5442,2.7,7.75,0.8,0.84,-0.277,0.674872572,0
Kepler-1539 b,133.3036741,0.4765,2.7,7.75,0.8,0.84,-0.426,0.671223751,0
Kepler-1459 b,62.8691611,0.2829,1.36,2.42,0.74,0.78,-0.523,0.669915782,0
Kepler-1450 b,54.5094166,0.2401,1.71,3.57,0.68,0.71,-0.768,0.669494951,0
Kepler-186 e,22.407704,0.11,1.27,2.15,0.47,0.48,-1.385,0.669216912,0
Kepler-1362 b,136.205626,0.4626,2.6,7.27,0.74,0.8,-0.601,0.668755112,0
Kepler-1020 b,96.9151496,0.3878,2.28,5.82,0.8,0.87,-0.436,0.666636254,0
Kepler-896 b,144.547396,0.5164,2.53,6.94,0.81,0.84,0.481,0.666014332,0
Kepler-138 d,23.0923,0.1288,1.51,2.1,0.54,0.54,-1.252,0.664812421,0
Kepler-1840 b,131.1900024,0.4644,2.778,8.13,0.8,0.77,-0.587,0.664373839,0
GJ 1061 b,3.204,0.021,1.1,1.37,0.16,0.12,-2.77,0.664141319,0
Kepler-1996 c,92.7297248,0.3608,2.81,8.3,0.68,0.75,-0.657,0.664042123,0
Kepler-436 b,64.00205,0.339,2.73,7.9,0.7,0.73,-0.701,0.663291692,0
Kepler-196 d,122.0800018,0.4484,2.661,7.56,0.77,0.81,-0.393,0.6627711,0
Kepler-367 c,53.578637,0.253,1.2,1.87,0.69,0.68,-0.617,0.662566878,0
Kepler-311 d,232.040326,0.7326,2.05,4.86,1.16,0.97,0.193,0.662123232,0
Kepler-54 d,20.995694,0.126,1.53,2.96,0.55,0.52,-1.301,0.661359255,0
Kepler-1690 b,234.636,0.7097,2.811,8.3,0.86,0.94,-0.243,0.661052825,0
Kepler-1548 b,124.828679,0.4679,2.64,7.46,0.97,0.99,-0.307,0.658761259,0
GJ 3473 c,15.509,0.0876,2.63,7.41,0.36,0.36,-1.824,0.658474979,0
Kepler-309 c,105.356383,0.401,2.51,6.85,0.72,0.67,-0.574,0.657522778,0
GJ 3293 e,13.2543,0.08208,1.63,3.28,0.4,0.42,-1.658,0.657508741,0
Kepler-52 d,36.445171,0.182,1.95,4.46,0.56,0.58,-0.996,0.654684342,0
TOI-237 b,5.436098,0.0341,1.44,2.67,0.21,0.18,-2.387,0.649206962,0
Kepler-351 d,142.544247,0.5177,2.72,7.85,0.78,0.81,-0.386,0.647143678,0
Kepler-267 d,28.464515,0.154,2.27,5.77,0.56,0.54,-1.229,0.643548973,0
Kepler-296 d,19.850291,0.118,2.09,5.02,0.48,0.5,-1.509,0.643008289,0
Kepler-230 c,91.773242,0.38,2.04,4.82,0.82,0.84,-0.368,0.642137005,0
LTT 3780 c,12.2519,0.07673,2.3,8.6,0.37,0.4,-1.777,0.642026359,0
Kepler-1341 b,132.9968322,0.4498,2.99,9.22,0.72,0.79,-0.638,0.641840294,0
Kepler-1881 b,159.3939972,0.5368,2.981,9.17,0.87,0.81,-0.307,0.641648365,0
TRAPPIST-1 b,1.510826,0.01154,1.116,1.374,0.12,0.09,-3.257,0.640054879,0
Kepler-1554 b,198.088774,0.6314,2.9,8.75,0.81,0.84,-0.393,0.639958794,0
K2-3 c,24.646582,0.1414,1.69,3.3,0.6,0.62,-1.15,0.639141914,0
Kepler-1538 b,175.138819,0.6095,2.82,8.35,1.03,1.03,-0.085,0.637903257,0
Kepler-152 c,88.255055,0.356,2.39,6.3,0.72,0.83,-0.465,0.637567613,0
LP 890-9 b,2.7299025,0.01875,1.32,13.2,0.16,0.12,-2.841,0.632802869,0
Kepler-1646 b,4.48558383,0.0295,1.23,2.04,0.26,0.24,-1.78,0.631714777,0
Kepler-169 f,87.090195,0.359,2.58,7.18,0.76,0.84,-0.496,0.628943821,0
LP 791-18 c,4.9899093,0.02961,2.438,7.1,0.18,0.14,-2.638,0.627752924,0
Kepler-1636 b,425.47785,1.1546,3.23,10.5,1.02,1.01,0.237,0.625226524,0
Kepler-1097 b,187.747029,0.5791,3.26,10.7,0.79,0.82,-0.404,0.624518189,0
Kepler-445 d,8.15275,0.0439,1.25,2.1,0.21,0.18,-2.1,0.623994448,0
Kepler-2000 c,20.6180348,0.1228,1.57,3.09,0.58,0.58,-1.053,0.623173623,0
K2-152 b,32.6479,0.1716,2.29,5.86,0.61,0.63,-1.06,0.62304291,0
Kepler-220 e,45.902733,0.226,1.33,2.33,0.67,0.65,-0.676,0.621225969,0
K2-129 b,8.239493,0.057,1.04,1.12,0.36,0.36,-1.828,0.621038181,0
Kepler-369 c,14.871572,0.094,1.41,2.57,0.47,0.5,-1.42,0.618902523,0
Kepler-1058 b,110.96546,0.3679,2.72,7.85,0.69,0.73,-0.316,0.618754402,0
Kepler-1858 b,88.07160187,0.3575,2.422,6.44,0.82,0.79,-0.453,0.618430902,0
EPIC 211822797 b,21.1701963,0.1195,1.92,4.35,0.58,0.62,-1.153,0.617314018,0
TOI-700 c,16.051137,0.0929,2.6,7.27,0.42,0.42,-1.64,0.612882559,0
GJ 887 c,21.789,0.12,2.67,7.6,0.47,0.49,-1.434,0.612334348,0
YZ Cet c,3.05989,0.02156,1.05,1.14,0.16,0.14,-2.659,0.60903043,0
G 264-012 c,8.0518,0.0525,1.76,3.75,0.3,0.3,-1.972,0.608924869,0
Kepler-1359 b,59.4970952,0.2769,2.83,8.4,0.72,0.78,-0.717,0.606329197,0
TOI-2096 c,6.38784,0.04,1.914,4.32,0.24,0.23,-2.228,0.605047574,0
K2-415 b,4.0179694,0.027,1.015,7.5,0.2,0.16,-2.455,0.604255178,0
Kepler-1593 b,174.509835,0.546,3.17,10.2,0.77,0.81,-0.652,0.603401521,0
Kepler-1038 b,148.4603382,0.5238,3.53,12.2,0.83,0.87,-0.362,0.603380251,0
Kepler-1550 b,225.582809,0.7681,3.02,9.38,1.11,1.07,0.119,0.600423631,0
Kepler-1567 b,153.979578,0.552,2.73,7.9,0.93,0.95,-0.122,0.59626103,0
TOI-700 b,9.977219,0.0677,0.914,0.704,0.42,0.42,-1.64,0.595184105,0
Kepler-549 c,117.040498,0.4453,2.93,8.91,0.84,0.88,-0.306,0.594243254,0
Kepler-249 d,15.368459,0.097,1.57,3.09,0.48,0.51,-1.495,0.591663938,0
Kepler-236 c,23.968127,0.132,2,4.66,0.51,0.6,-1.229,0.591071128,0
Kepler-967 c,198.7112502,0.6253,3.65,12.9,0.8,0.84,-0.718,0.586831513,0
GJ 357 c,9.1247,0.061,1.66,3.4,0.34,0.34,-1.798,0.585187453,0
Kepler-985 b,116.331901,0.4451,2.98,9.17,0.85,0.91,-0.283,0.585119066,0
Kepler-344 c,125.596809,0.488,2.95,9.01,0.98,0.93,-0.185,0.582170686,0
K2-123 b,30.951524,0.1649,2.76,8.05,0.59,0.62,-1.143,0.581934995,0
Kepler-610 c,151.86392,0.5594,3.3,10.9,1.13,1.1,-0.11,0.580544204,0
Kepler-1700 b,234.239,0.7576,2.901,8.76,1.09,1.12,0.154,0.579400856,0
TOI-1231 b,24.245586,0.1288,3.65,15.4,0.48,0.49,-1.487,0.57888815,0
K2-72 d,7.760178,0.05,1.01,1.01,0.33,0.27,-1.837,0.577561999,0
HD 191939 g,284,0.812,3.74,13.5,0.94,0.81,-0.187,0.576293281,0
HD 219134 d,46.859,0.237,1.61,16.17,0.78,0.81,-0.577,0.575887446,0
TOI-712 c,51.69906,0.2447,2.701,7.76,0.67,0.73,-0.728,0.575109267,0
Kepler-1126 b,108.593329,0.4126,1.73,3.64,0.93,0.92,-0.099,0.57422691,0
Kepler-235 d,20.060548,0.122,2.05,4.86,0.55,0.58,-1.102,0.573605177,0
Kepler-1874 b,56.57320023,0.2633,2.211,5.52,0.78,0.76,-0.577,0.573032081,0
TOI-270 d,11.379573,0.0721,2.133,4.78,0.38,0.39,-1.712,0.572457727,0
Kepler-55 c,42.1516418,0.2095,2.21,69.8,0.58,0.62,-0.763,0.570305975,0
Kepler-1718 b,135.1880035,0.4878,2.569,7.12,0.91,0.85,-0.04,0.570205619,0
L 98-59 d,7.4507245,0.0486,1.521,1.94,0.3,0.27,-1.948,0.569445512,0
Kepler-1036 b,122.8808058,0.4629,3.01,9.32,0.89,0.95,-0.202,0.568131255,0
LTT 1445 A b,5.3587657,0.03813,1.305,2.87,0.27,0.26,-2.046,0.567338564,0
GJ 143 b,35.61253,0.1915,2.61,22.7,0.7,0.73,-0.686,0.564554619,0
Kepler-1101 b,81.3151059,0.3483,2.47,6.66,0.91,0.94,-0.351,0.563448986,0
TOI-2136 b,7.851928,0.057,2.19,6.37,0.34,0.34,-1.886,0.563263103,0
Kepler-786 b,53.5293487,0.2548,2.43,6.48,0.74,0.81,-0.583,0.562127357,0
LP 791-18 d,2.753436,0.01992,1.032,0.9,0.18,0.14,-2.638,0.560412377,0
Kepler-1853 b,48.88819885,0.2395,1.519,2.92,0.79,0.77,-0.562,0.560094413,0
Kepler-1849 b,57.29290009,0.2597,2.387,6.29,0.73,0.71,-0.662,0.560026311,0
Kepler-1802 c,33.13610077,0.1748,2.322,6,0.64,0.65,-0.925,0.559848525,0
Kepler-315 c,265.469335,0.791,4.15,16.1,1.04,0.98,0.004,0.559719766,0
Kepler-174 c,44.000529,0.214,1.49,2.83,0.62,0.6,-0.57,0.559305583,0
Kepler-310 d,92.876125,0.392,2.47,7,0.88,0.91,-0.239,0.5589135,0
Kepler-1661 b,175.06,0.633,3.87,17,0.76,0.84,-0.513,0.556508387,0
Kepler-1948 b,15.57129955,0.1022,1.033,1.09,0.56,0.59,-0.862,0.554936263,0
Kepler-1333 b,109.6471842,0.4382,2.81,8.3,0.92,0.94,-0.188,0.553487053,0
Kepler-1678 b,147.974,0.5302,3.304,10.9,0.83,1.03,-0.162,0.550563399,0
Kepler-505 b,27.52197994,0.1445,2.6,7.27,0.53,0.55,-1.079,0.54988811,0
K2-54 b,9.7843,0.0671,1.15,1.6,0.38,0.42,-1.011,0.548166042,0
Kepler-1227 b,94.2887577,0.4092,2.29,5.86,0.95,0.97,-0.158,0.545814019,0
LHS 1140 c,3.77792,0.02734,1.169,1.76,0.21,0.19,-2.488,0.545457891,0
Kepler-367 b,37.815724,0.201,1.3,2.24,0.69,0.68,-0.617,0.545275785,0
Kepler-409 b,68.9583216,0.3192,1.199,6,0.9,0.91,-0.202,0.544631512,0
Kepler-1388 e,37.6327084,0.1861,2.46,6.62,0.61,0.63,-1.107,0.543070756,0
Kepler-32 d,22.7802,0.13,2.7,7.75,0.53,0.58,-1.292,0.542954704,0
Kepler-1684 b,47.7055,0.2253,2.871,8.6,0.67,0.75,-0.707,0.542241369,0
Kepler-251 e,99.640161,0.404,2.77,8.1,0.89,0.95,-0.172,0.54223075,0
Kepler-132 e,110.2869374,0.4393,1.18,1.76,1.1,1.03,0.211,0.541388651,0
Kepler-934 b,55.6738309,0.2658,2.09,5.02,0.77,0.81,-0.478,0.536560328,0
K2-150 b,10.59357,0.0727,2,4.66,0.44,0.46,-1.585,0.535988571,0
TOI-776 c,15.6653,0.1,2.02,5.3,0.54,0.54,-1.31,0.534394993,0
Kepler-383 c,31.200751,0.172,1.24,2.07,0.67,0.67,-0.698,0.533431556,0
Kepler-1168 b,55.8226539,0.2663,2.5,6.8,0.82,0.87,-0.53,0.533016534,0
GJ 273 c,4.7234,0.036467,1.06,1.18,0.29,0.29,-2.056,0.532402616,0
Kepler-149 d,160.018032,0.571,3.96,14.9,0.95,0.92,-0.119,0.532135964,0
Kepler-139 c,157.072878,0.586,3.38,11.4,1.3,1.05,0.016,0.531673309,0
Kepler-446 c,3.036179,0.0283,1.11,1.41,0.24,0.22,-2.248,0.529922183,0
Kepler-1086 c,161.5163345,0.503,2.94,8.96,0.66,0.7,-0.86,0.52971046,0
Kepler-176 e,51.16579,0.2494,1.45,2.7,0.83,0.87,-0.404,0.528541756,0
Kepler-482 b,56.35418576,0.2537,2.36,6.17,0.72,0.75,-0.539,0.528009755,0
Kepler-504 b,9.54927542,0.0646,1.59,3.15,0.33,0.33,-1.577,0.526487868,0
Kepler-49 e,18.596108,0.116,1.56,3.05,0.56,0.55,-1.131,0.526292446,0
Kepler-1132 b,62.8916228,0.2881,2.35,6.12,0.83,0.87,-0.378,0.523838237,0
Kepler-942 b,44.96417488,0.2298,2.13,5.18,0.75,0.81,-0.585,0.523281242,0
Kepler-1261 b,48.4308991,0.239,2.26,5.73,0.77,0.82,-0.523,0.522439852,0
Kepler-239 c,56.228098,0.268,2.51,6.85,0.76,0.76,-0.475,0.52231514,0
K2-118 b,50.92092,0.245,2.54,6.99,0.73,0.76,-0.561,0.521051597,0
Kepler-218 d,124.5244647,0.4865,2.66,7.56,1.02,1.01,0.009,0.520888308,0
Kepler-1634 b,374.876239,1.0525,3.19,10.3,0.89,0.92,-0.265,0.520570303,0
Kepler-1151 b,65.6478424,0.3197,2.22,5.56,0.85,0.88,-0.342,0.520468301,0
Kepler-333 c,24.08821,0.135,1.11,1.41,0.53,0.6,-0.928,0.520311274,0
Kepler-331 d,32.134328,0.159,1.64,3.33,0.49,0.65,-0.784,0.520239127,0
Kepler-976 b,105.9564148,0.4217,3.96,14.9,0.83,0.87,-0.36,0.520154554,0
Kepler-1651 b,9.87863917,0.0692,1.84,4.04,0.5,0.52,-1.368,0.519518821,0
Kepler-399 d,58.034616,0.261,1.89,4.23,0.68,0.9,-0.418,0.518534885,0
K2-17 b,17.96753,0.119,2.23,5.6,0.66,0.71,-0.997,0.517662598,0
Kepler-1460 b,29.9633247,0.1614,1.96,4.5,0.67,0.7,-0.844,0.516773578,0
Kepler-841 b,124.4198398,0.479,5.23,23.8,0.81,0.85,-0.362,0.515120441,0
GJ 3293 b,30.5987,0.14339,5.19,23.54,0.4,0.42,-1.658,0.513934053,0
Kepler-332 d,34.21154,0.189,1.18,1.76,0.72,0.8,-0.584,0.512903076,0
Kepler-538 b,81.73778,0.3554,2.215,12.9,0.87,0.89,-0.179,0.5124311,0
Kepler-1780 b,109.4449997,0.4276,3.606,12.7,0.87,0.87,-0.217,0.511978346,0
Kepler-1490 b,92.4362973,0.3729,3.04,9.48,0.87,0.9,-0.319,0.511459921,0
Kepler-1237 b,84.5733226,0.3778,2.86,8.55,0.9,0.94,-0.258,0.511006516,0
K2-315 b,3.1443189,,0.95,0.809,0.2,0.17,-2.387,0.511004898,0
Kepler-1499 b,44.2008,0.2196,1.19,1.81,0.78,0.82,-0.464,0.509491309,0
Wolf 1061 b,4.8869,0.0375,1.21,1.91,0.31,0.29,-1.991,0.509479126,0
Kepler-296 b,10.864384,0.079,1.61,3.22,0.48,0.5,-1.509,0.509087055,0
Kepler-1868 b,211.0339966,0.6266,3.15,10.1,0.69,0.74,-0.662,0.508854364,0
Kepler-993 b,22.08557563,0.13,2.97,9.11,0.54,0.57,-1.229,0.508130334,0
TOI-1266 b,10.894843,0.0736,2.37,13.5,0.42,0.45,-1.58,0.507675275,0
Kepler-1318 b,213.257663,0.6085,3.11,9.85,0.7,0.73,-0.73,0.507565004,0
Kepler-138 c,13.7815,0.0913,1.51,2.3,0.54,0.54,-1.252,0.507325032,0
Kepler-1143 c,210.630591,0.6477,3.6,12.6,0.77,0.81,-0.623,0.506406375,0
Kepler-1162 c,59.284064,0.2832,1.81,3.93,0.86,0.86,-0.322,0.505526926,0
Kepler-81 d,20.837846,0.128,1.21,1.92,0.59,0.65,-0.889,0.505279579,0
Kepler-1465 b,31.8277111,0.1939,1.77,3.78,0.71,0.75,-0.652,0.505076776,0
Kepler-186 d,13.342996,0.0781,1.4,2.54,0.47,0.48,-1.385,0.503529864,0
Kepler-540 b,172.7049784,0.5886,2.71,7.8,1.08,1.02,0.207,0.499089538,0
Kepler-411 d,58.02035,0.279,3.319,15.2,0.82,0.87,-0.579,0.499057374,0
K2-88 b,4.6122,0.0345,1.23,2.04,0.26,0.26,-1.545,0.497672861,0
K2-136 d,25.575,0.1538,1.565,3,0.68,0.74,-0.777,0.496490329,0
HD 42618 b,149.61,0.554,3.89,14.4,1,1.01,-0.009,0.496202227,0
Kepler-987 b,105.3033148,0.4238,3.26,10.7,0.91,0.97,-0.145,0.495227305,0
Kepler-1600 b,386.370548,0.9712,3.13,9.96,0.82,0.86,-0.339,0.49463058,0
Kepler-220 d,28.122397,0.163,0.98,0.904,0.67,0.65,-0.676,0.493944542,0
TOI-244 b,7.397225,0.0559,1.52,2.68,0.43,0.43,-1.643,0.493646072,0
K2-149 b,11.332,0.083,1.64,3.33,0.57,0.59,-1.31,0.493225897,0
K2-83 c,9.99767,0.07131,1.483,2.8,0.42,0.48,-1.204,0.493069832,0
YZ Cet b,2.02087,0.01634,0.913,0.7,0.16,0.14,-2.659,0.492974113,0
Kepler-231 c,19.271566,0.114,1.93,24.1,0.49,0.58,-1.036,0.492763472,0
TOI-561 e,77.03,0.328,2.55,12.6,0.84,0.81,-0.273,0.492643528,0
Kepler-260 c,76.050178,0.332,1.74,3.68,0.86,0.92,-0.092,0.492053113,0
Kepler-782 b,158.6853308,0.5444,3.21,10.4,1.01,0.98,0.11,0.491596517,0
K2-21 c,15.50192,0.107,2.49,6.76,0.65,0.68,-0.985,0.491487527,0
Kepler-1456 b,18.1373829,0.1132,1.14,1.55,0.62,0.64,-0.957,0.491467205,0
Kepler-1712 b,13.81499958,0.0903,2.284,5.83,0.51,0.52,-1.179,0.490985464,0
Kepler-1521 b,47.14840805,0.2317,2.5,6.8,0.76,0.81,-0.569,0.490060274,0
