pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,ESI,isHabitable
232.040326,0.7326,2.05,4.86,1.16,0.97,0.193,0.662123232,0
20.995694,0.126,1.53,2.96,0.55,0.52,-1.301,0.661359255,0
234.636,0.7097,2.811,8.3,0.86,0.94,-0.243,0.661052825,0
124.828679,0.4679,2.64,7.46,0.97,0.99,-0.307,0.658761259,0
15.509,0.0876,2.63,7.41,0.36,0.36,-1.824,0.658474979,0
105.356383,0.401,2.51,6.85,0.72,0.67,-0.574,0.657522778,0
13.2543,0.08208,1.63,3.28,0.4,0.42,-1.658,0.657508741,0
36.445171,0.182,1.95,4.46,0.56,0.58,-0.996,0.654684342,0
5.436098,0.0341,1.44,2.67,0.21,0.18,-2.387,0.649206962,0
142.544247,0.5177,2.72,7.85,0.78,0.81,-0.386,0.647143678,0
28.464515,0.154,2.27,5.77,0.56,0.54,-1.229,0.643548973,0
19.850291,0.118,2.09,5.02,0.48,0.5,-1.509,0.643008289,0
91.773242,0.38,2.04,4.82,0.82,0.84,-0.368,0.642137005,0
12.2519,0.07673,2.3,8.6,0.37,0.4,-1.777,0.642026359,0
132.9968322,0.4498,2.99,9.22,0.72,0.79,-0.638,0.641840294,0
159.3939972,0.5368,2.981,9.17,0.87,0.81,-0.307,0.641648365,0
1.510826,0.01154,1.116,1.374,0.12,0.09,-3.257,0.640054879,0
198.088774,0.6314,2.9,8.75,0.81,0.84,-0.393,0.639958794,0
24.646582,0.1414,1.69,3.3,0.6,0.62,-1.15,0.639141914,0
175.138819,0.6095,2.82,8.35,1.03,1.03,-0.085,0.637903257,0
88.255055,0.356,2.39,6.3,0.72,0.83,-0.465,0.637567613,0
2.7299025,0.01875,1.32,13.2,0.16,0.12,-2.841,0.632802869,0
4.48558383,0.0295,1.23,2.04,0.26,0.24,-1.78,0.631714777,0
87.090195,0.359,2.58,7.18,0.76,0.84,-0.496,0.628943821,0
4.9899093,0.02961,2.438,7.1,0.18,0.14,-2.638,0.627752924,0
425.47785,1.1546,3.23,10.5,1.02,1.01,0.237,0.625226524,0
187.747029,0.5791,3.26,10.7,0.79,0.82,-0.404,0.624518189,0
8.15275,0.0439,1.25,2.1,0.21,0.18,-2.1,0.623994448,0
20.6180348,0.1228,1.57,3.09,0.58,0.58,-1.053,0.623173623,0
32.6479,0.1716,2.29,5.86,0.61,0.63,-1.06,0.62304291,0
