"","rowid","pl_controvflag","pl_pnum","pl_orbper","pl_orbpererr1","pl_orbpererr2","pl_orbperlim","pl_orbsmaxlim","pl_radj","pl_radjerr1","pl_radjerr2","pl_radjlim","pl_ttvflag","pl_kepflag","pl_k2flag","pl_nnotes","ra","dec","st_dist","st_disterr1","st_disterr2","st_distlim","st_optmag","st_optmaglim","gaia_gmag","gaia_gmaglim","st_teff","st_tefferr1","st_tefferr2","st_tefflim","st_mass","st_masserr1","st_masserr2","st_masslim","st_rad","st_raderr1","st_raderr2","st_radlim","pl_tranflag","pl_rvflag","pl_imgflag","pl_astflag","pl_omflag","pl_cbflag","pl_rade","pl_radeerr1","pl_radeerr2","pl_radelim","pl_rads","pl_radserr1","pl_radserr2","pl_radslim","pl_trandur","pl_trandurerr1","pl_trandurerr2","pl_trandurlim","pl_tranmid","pl_tranmiderr1","pl_tranmiderr2","pl_tranmidlim","pl_ratrorlim","pl_disc","pl_status","pl_mnum","pl_st_npar","pl_st_nref","st_rah","st_glon","st_glat","st_elon","st_elat","st_plxlim","gaia_plx","gaia_plxerr1","gaia_plxerr2","gaia_plxlim","gaia_dist","gaia_disterr1","gaia_disterr2","gaia_distlim","st_pmra","st_pmraerr","st_pmralim","st_pmdec","st_pmdecerr","st_pmdeclim","st_pm","st_pmerr","st_pmlim","gaia_pmra","gaia_pmraerr","gaia_pmralim","gaia_pmdec","gaia_pmdecerr","gaia_pmdeclim","gaia_pm","gaia_pmerr","gaia_pmlim","st_logg","st_loggerr1","st_loggerr2","st_logglim","st_metfe","st_metfeerr1","st_metfeerr2","st_metfelim","st_nts","st_nplc","st_nglc","st_nrvc","st_naxa","st_nimg","st_nspec","st_j","st_jerr","st_jlim","st_h","st_herr","st_hlim","st_k","st_kerr","st_klim","st_wise1","st_wise1err","st_wise1lim","st_wise2","st_wise2err","st_wise2lim","st_wise3","st_wise3err","st_wise3lim","st_wise4","st_wise4lim","st_photn","st_jmh2","st_jmh2err","st_jmh2lim","st_hmk2","st_hmk2err","st_hmk2lim","st_jmk2","st_jmk2err","st_jmk2lim","st_colorn"
"430",430,0,2,116.596,0.023,-0.023,0,0,0.225,0.044,-0.018,0,0,0,0,0,246.438141,-33.56712,104.93,10.9,-10.9,0,7.96,0,7.818,0,5972,100,-100,0,1.38,0.05,-0.05,0,2.29,0.1,-0.1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.4835,0.002321,-0.00896,NA,2456905.8855,3e-04,-0.00936,NA,NA,2016,3,0,16,16,16.42920939,345.985222,10.845829,250.111248,-11.740395,0,9.14,0.08,-0.08,0,109.38,1.01,-1.01,0,-18.7,0.2,0,-22.8,0.1,0,29.5,0.1,0,-18.7,0.2,0,-22.8,0.1,0,29.5,0.1,0,3.86,0.05,-0.05,0,0.03,0.1,-0.1,0,1,0,1,0,0,3,0,6.908,0.018,0,6.698,0.026,0,6.581,0.029,0,12.479,0.047,0,12.274,0.04,0,11.656,0.172,0,7.868,-1,10,0.21,0.032,0,0.117,0.039,0,0.327,0.034,0,6
"431",431,0,2,491.54,0.79,-0.79,0,0,0.96,0.081,-0.05,0,0,0,0,0,246.438141,-33.56712,104.93,10.9,-10.9,0,7.96,0,7.818,0,5972,100,-100,0,1.38,0.05,-0.05,0,2.29,0.1,-0.1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.614,0.002233,-0.0034,NA,2457315.28338,0.00278,-7e-04,NA,NA,2016,3,0,16,16,16.42920939,345.985222,10.845829,250.111248,-11.740395,0,9.14,0.08,-0.08,0,109.38,1.01,-1.01,0,-18.7,0.2,0,-22.8,0.1,0,29.5,0.1,0,-18.7,0.2,0,-22.8,0.1,0,29.5,0.1,0,3.86,0.05,-0.05,0,0.03,0.1,-0.1,0,1,0,1,0,0,3,0,6.908,0.018,0,6.698,0.026,0,6.581,0.029,0,12.035,0.023,0,11.8,0.02,0,12.078,0.317,0,8.334,-1,10,0.21,0.032,0,0.117,0.039,0,0.327,0.034,0,6
"432",432,0,1,1027,28,-28,0,0,0.238,0.004,-0.01,0,0,0,0,0,247.072006,-46.317623,57.22,0.15,-0.15,0,7.689,0,7.555,0,6308,28,-28,0,1.22,0.01,NA,0,1.21,0.03,-0.03,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.614,0.0051,-0.003775,0,2458005.722,0.01213,-0.00357,0,0,2009,3,0,19,16,16.47146708,337.022602,1.701676,252.838406,-24.235019,0,17.48,0.05,-0.05,0,57.22,0.15,-0.15,0,45.6,0.1,0,27.9,0,0,53.5,0.1,0,45.6,0.1,0,27.9,0,0,53.5,0.1,0,4.56,0.07,-0.07,0,0.29,0.02,-0.02,0,1,0,1,0,0,3,0,6.688,0.018,0,6.489,0.024,0,6.397,0.022,0,6.408,0.074,0,6.357,0.023,0,6.423,0.022,0,6.401,0,13,0.199,0.03,0,0.092,0.033,0,0.291,0.028,0,5
"433",433,0,2,328.55,0.41,-0.41,0,0,0.15,0.018,-0.012,0,0,0,0,0,246.435547,11.919066,77.37,0.3,-0.3,0,8.23,0,8.091,0,6032,226,-238.63,0,1.21,0.24,-0.24,0,1.34,0.1,-0.1,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.673892,0.003,-0.001337,0,2455863.11957,0.00393,-0.00548,0,0,2018,3,0,16,13,16.42903646,27.050788,37.67756,242.161294,33.108994,0,12.93,0.05,-0.05,0,77.37,0.3,-0.3,0,-88.5,0.1,0,1.6,0,0,88.5,0.1,0,-88.5,0.1,0,1.6,0,0,88.5,0.1,0,4.24,0.05,-0.05,0,0.24,0.121,-0.12,0,1,0,1,0,0,0,3,7.229,0.024,0,6.972,0.034,0,6.906,0.021,0,6.867,0.06,0,6.885,0.02,0,6.91,0.016,0,6.842,0,14,0.257,0.042,0,0.066,0.04,0,0.323,0.032,0,9
"434",434,0,2,5062,114,-114,0,0,0.15,0.009,-0.008,0,0,0,0,0,246.435547,11.919066,77.37,0.3,-0.3,0,8.23,0,8.091,0,6032,164,-169.89,0,1.21,0.24,-0.24,0,1.34,0.1,-0.1,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.52971,0.000488,-0.00053,0,2457295.93434,0.00841,-0.00355,0,0,2018,3,0,16,13,16.42903646,27.050788,37.67756,242.161294,33.108994,0,12.93,0.05,-0.05,0,77.37,0.3,-0.3,0,-88.5,0.1,0,1.6,0,0,88.5,0.1,0,-88.5,0.1,0,1.6,0,0,88.5,0.1,0,4.23,0.1,-0.11,0,0.24,0.1,-0.1,0,1,0,1,0,0,0,3,7.229,0.024,0,6.972,0.034,0,6.906,0.021,0,6.867,0.06,0,6.885,0.02,0,6.91,0.016,0,6.842,0,14,0.257,0.042,0,0.066,0.04,0,0.323,0.032,0,9
"435",435,0,1,339.331,0.018,-0.018,0,0,0.728,0.014,-0.017,0,0,0,0,0,246.451721,30.265127,121.61,0.65,-0.65,0,9.01,0,8.835,0,5572,88,-88,0,1.07,0.26,-0.26,0,1.48,0.16,-0.16,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.614,0.01025,-0.00708,0,2456235.5639,0.01,-3e-05,0,0,2018,3,0,16,11,16.43011475,50.103924,43.318527,236.73224,51.019805,0,8.22,0.04,-0.04,0,121.61,0.65,-0.65,0,-25.8,0.1,0,-82,0.1,0,86,0.1,0,-25.8,0.1,0,-82,0.1,0,86,0.1,0,4.08,0.03,-0.03,0,0.16,0.04,-0.059,0,1,0,1,0,0,0,1,7.682,0.02,0,7.474,0.072,0,7.322,0.02,0,7.251,0.03,0,7.331,0.021,0,7.307,0.018,0,7.326,0,14,0.208,0.075,0,0.152,0.075,0,0.36,0.028,0,6
"436",436,0,1,331.5,3,-3,0,0,0.388,0.012,-0.012,0,0,0,0,0,247.117294,-13.39964,71.5,0.31,-0.31,0,6.895,0,6.635,0,5025,4,-4,0,1.64,0.27,-0.27,0,3.86,0.12,-0.12,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.52971,8e-04,-7e-04,0,2455983.70421,0.00744,-0.00144,0,0,2009,3,0,40,19,16.47448629,2.417369,23.581615,247.527654,8.272306,0,13.99,0.06,-0.06,0,71.5,0.31,-0.31,0,-37.2,0.1,0,2.9,0.1,0,37.3,0.1,0,-37.2,0.1,0,2.9,0.1,0,37.3,0.1,0,3.48,0.06,-0.06,0,0.08,0.08,-0.082,0,2,0,1,1,0,3,0,5.299,0.021,0,4.875,0.065,0,4.682,0.021,0,4.724,0.238,0,4.53,0.078,0,4.654,0.015,0,4.602,0,13,0.424,0.068,0,0.193,0.068,0,0.617,0.03,0,8
"437",437,0,1,2.87589,2e-06,-2e-06,0,0,0.74,0.02,-0.02,0,0,0,0,0,247.623413,38.347309,76.03,0.17,-0.17,0,8.15,0,8.014,0,6179,15,-15,0,1.42,0.33,-0.33,0,1.41,0.03,-0.03,0,1,1,0,0,1,0,8.295,0.224,-0.224,0,0.076,0.002,-0.002,0,0.1302,0.00583,-0.00058,0,2454419.19556,0.00073,-0.000417,0,0,2005,3,0,128,29,16.50822754,61.296758,43.283307,234.500346,59.059608,0,13.15,0.03,-0.03,0,76.03,0.17,-0.17,0,-77.9,0,0,52.6,0.1,0,94,0.1,0,-77.9,0,0,52.6,0.1,0,94,0.1,0,4.37,0.04,-0.04,0,0.32,0.1,-0.1,0,17,11,1,3,2,3,4,7.118,0.024,0,6.899,0.018,0,6.819,0.017,0,6.786,0.069,0,6.802,0.022,0,6.822,0.016,0,6.846,0,17,0.219,0.03,0,0.08,0.025,0,0.299,0.029,0,7
"438",438,0,1,4.07182,1e-05,-1e-05,0,0,1.09,0.145,-0.146,0,0,0,0,1,248.212708,2.084832,73.43,0.36,-0.36,0,7.89,0,7.741,0,5856,125,-125,0,1.2,0.2,-0.2,0,1.44,0.08,-0.08,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.16421,0.005,-0.003,0,2454573.6299,0.00375,-0.0079,0,0,2005,3,0,59,19,16.54751383,17.516745,31.481715,246.097208,23.734304,0,13.62,0.07,-0.07,0,73.43,0.36,-0.36,0,-9.3,0.1,0,-86.7,0.1,0,87.2,0.1,0,-9.3,0.1,0,-86.7,0.1,0,87.2,0.1,0,4.23,0.05,-0.05,0,0.29,0.13,-0.14,0,4,1,1,2,0,3,3,6.759,0.02,0,6.535,0.038,0,6.434,0.026,0,6.43,0.086,0,6.386,0.025,0,6.428,0.017,0,6.417,0,15,0.224,0.043,0,0.101,0.046,0,0.325,0.033,0,13
"439",439,0,1,428.5,1.2,-1.2,0,0,1.11,0.042,-0.046,0,0,0,0,0,4.82111,14.054755,191.96,2.78,-2.78,0,8.36,0,8.104,0,4947,50,-49,0,1.46,0.18,NA,0,4.67,0.24,-0.1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.76933,0.00045,-0.005,0,2457720.659396,0.0054,-0.00386,0,0,2011,3,0,39,15,0.32140732,111.216101,-48.084195,10.055058,10.974919,0,5.21,0.08,-0.08,0,191.96,2.78,-2.78,0,74.1,0.1,0,-16.9,0.1,0,76,0.1,0,74.1,0.1,0,-16.9,0.1,0,76,0.1,0,3.18,0.04,-0.04,0,-0.31,0.07,-0.07,0,1,0,1,0,0,3,1,6.681,0.018,0,6.234,0.017,0,6.12,0.026,0,6.186,0.103,0,6.041,0.038,0,6.095,0.015,0,5.984,0,15,0.447,0.025,0,0.114,0.031,0,0.561,0.032,0,6
"440",440,0,1,5894,5584,-1498,0,0,1.136,0.1,-0.1,0,0,0,0,0,247.823273,79.789772,28.29,0.02,-0.02,0,7.02,0,6.85,0,5961,27,-27,0,1.17,0.12,-0.12,0,0.96,0.02,-0.02,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.4243,0.003,-0.004,NA,2457508.37019,0.00041,-0.00084,NA,NA,2012,3,0,32,24,16.52155151,113.007151,32.638271,105.524033,75.522729,0,35.34,0.03,-0.03,0,28.29,0.02,-0.02,0,94.9,0,0,-87,0.1,0,128.7,0.1,0,94.9,0,0,-87,0.1,0,128.7,0.1,0,4.5,0.1,-0.1,0,-0.01,0.04,-0.04,0,1,0,1,0,0,3,1,5.89,0.032,0,5.639,0.016,0,5.565,0.016,0,5.555,0.146,0,5.39,0.041,0,5.554,0.014,0,5.447,0,26,0.251,0.036,0,0.074,0.023,0,0.325,0.036,0,6
"441",441,0,1,2899,52,-52,0,0,0.88,0.025,-0.013,0,0,0,0,0,253.373901,-46.332958,83.33,10.56,-10.56,0,9.18,0,9.011,0,5726,100,-100,0,1.1,0.05,-0.05,0,1.15,0.13,-0.13,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.503,0.0006583,-0.000442,NA,2455954.58576,0.000408,-0.00533,NA,NA,2009,3,0,29,19,16.89159342,339.892243,-1.568839,257.548855,-23.609732,0,11.35,0.05,-0.05,0,88.11,0.36,-0.36,0,-107.3,0.1,0,-93.5,0.1,0,142.3,0.1,0,-107.3,0.1,0,-93.5,0.1,0,142.3,0.1,0,4.36,0.1,-0.1,0,0.16,0.1,-0.1,0,2,0,1,1,0,3,0,7.984,0.021,0,7.656,0.031,0,7.634,0.021,0,7.563,0.027,0,7.638,0.02,0,7.713,0.033,0,7.554,0,15,0.328,0.037,0,0.022,0.037,0,0.35,0.03,0,10
"442",442,0,1,686.5,4.8,-4.8,0,0,0.1,0.023,-0.011,0,0,0,0,0,253.431595,11.973746,166.54,1.17,-1.17,0,8.38,0,8.127,0,5027,62.55,-69.8,0,1.3,0.06,NA,0,5.14,0.3,-0.11,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.958,0.0015,-0.002371,0,2457295.93434,4e-04,-0.014,0,0,2011,3,0,44,15,16.89543966,30.611579,31.490882,250.268166,34.285034,0,6,0.04,-0.04,0,166.54,1.17,-1.17,0,11.6,0.1,0,-15.1,0.1,0,19,0.1,0,11.6,0.1,0,-15.1,0.1,0,19,0.1,0,3.29,0.01,-0.01,0,0.05,0.144,-0.133,0,1,0,1,0,0,3,1,6.673,0.018,0,6.244,0.017,0,6.173,0.015,0,6.161,0.091,0,6.108,0.031,0,6.149,0.015,0,6.042,0,15,0.429,0.025,0,0.071,0.023,0,0.5,0.023,0,6
"443",443,0,2,4.75615,0.00017,-0.00017,0,0,0.146,0.005,-0.005,0,0,0,0,0,36.86824,-27.635206,44.87,0.07,-0.07,0,9.088,0,8.856,0,5125,50,-50,0,0.9,0.03,-0.03,0,0.86,0.02,-0.02,0,1,1,0,0,0,0,1.64,0.06,-0.06,0,0.015,0.001,-0.001,0,0.10375,0.0025,-0.0025,0,2458411.46156,0.00094,-0.00119,0,0,2019,3,0,24,16,2.45788269,219.859826,-68.708612,23.158599,-39.56819,0,22.28,0.03,-0.03,0,44.87,0.07,-0.07,0,-73.59,0.057,0,-211.614,0.082,0,224.045,0.08,0,-73.59,0.057,0,-211.614,0.082,0,224.045,0.08,0,4.53,0.02,-0.02,0,0.15,0.1,-0.1,0,1,0,1,0,0,0,0,7.553,0.019,0,7.215,0.034,0,7.044,0.018,0,6.918,0.054,0,7.048,0.02,0,7.015,0.017,0,6.916,0,13,0.338,0.039,0,0.171,0.038,0,0.509,0.026,0,8
"444",444,0,2,17.1784,0.0016,-0.0016,0,0,0.213,0.011,-0.011,0,0,0,0,0,36.86824,-27.635206,44.87,0.07,-0.07,0,9.088,0,8.856,0,5125,50,-50,0,0.9,0.03,-0.03,0,0.86,0.02,-0.02,0,1,1,0,0,0,0,2.39,0.12,-0.12,0,0.022,0.001,-0.001,0,0.09375,0.0083333,-0.0045833,0,2458414.5501,0.0015,-0.0015,0,0,2019,3,0,24,16,2.45788269,219.859826,-68.708612,23.158599,-39.56819,0,22.28,0.03,-0.03,0,44.87,0.07,-0.07,0,-73.59,0.057,0,-211.614,0.082,0,224.045,0.08,0,-73.59,0.057,0,-211.614,0.082,0,224.045,0.08,0,4.53,0.02,-0.02,0,0.15,0.1,-0.1,0,1,0,1,0,0,0,0,7.553,0.019,0,7.215,0.034,0,7.044,0.018,0,6.918,0.054,0,7.048,0.02,0,7.015,0.017,0,6.916,0,13,0.338,0.039,0,0.171,0.038,0,0.509,0.026,0,8
"445",445,0,1,499.39999,3.6,-3.6,0,0,0.073,0.003,-0.01,0,0,0,0,0,256.128632,-43.309769,48.52,0.12,-0.12,0,7.39,0,7.238,0,6124,81,-81,0,1.25,0.18,-0.18,0,1.28,0.04,-0.04,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.675962,0.004046,-0.00437,0,2455624.267096,0.0039,-0.00367,0,0,2008,3,0,26,16,17.07524211,343.476552,-1.231061,259.274365,-20.385587,0,20.61,0.05,-0.05,0,48.52,0.12,-0.12,0,110.5,0.1,0,-140.7,0.1,0,178.9,0.1,0,110.5,0.1,0,-140.7,0.1,0,178.9,0.1,0,4.32,0.06,-0.06,0,-0.01,0.28,-0.2,0,2,0,1,1,0,3,0,6.313,0.018,0,6.078,0.034,0,6.006,0.017,0,6.001,0.106,0,5.931,0.043,0,6.028,0.022,0,5.907,0,13,0.235,0.038,0,0.072,0.038,0,0.307,0.025,0,5
"446",446,0,1,3341.55884,93,-93,0,0,0.97,0.07,-0.08,0,0,0,0,0,255.651688,47.081882,18.29,0.01,-0.01,0,6.76,0,6.568,0,5468,14,-14,0,0.71,0.07,-0.07,0,0.85,0.01,-0.01,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.6720833,0.0041667,-0.001654,0,2454923.9138,0.00455,-0.00326,0,0,2006,3,0,50,32,17.04344584,73.022221,37.663548,241.743124,69.117863,0,54.66,0.02,-0.02,0,18.29,0.01,-0.01,0,123.2,0,0,853.7,0,0,862.6,0,0,123.2,0,0,853.7,0,0,862.6,0,0,4.43,0.04,-0.04,0,-0.11,0.04,-0.04,0,3,0,1,2,0,4,4,5.411,0.041,0,5.098,0.02,0,5.003,0.017,0,4.985,0.087,0,4.916,0.07,0,5.022,0.015,0,4.978,0,19,0.313,0.046,0,0.095,0.026,0,0.408,0.044,0,9
"447",447,0,1,163.94,0.01,-0.01,0,0,0.847,0.021,-0.047,0,0,0,0,0,257.520477,-56.449268,64.77,3.52,-3.52,0,8.21,0,8.037,0,5743,23,-23,0,1.18,0.12,-0.12,0,1.32,0.02,-0.02,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.44646,0.0023,-0.0025,0,2458325.504,0.00039,-0.0013,0,0,2008,3,0,36,20,17.16803182,333.385298,-9.759043,261.778697,-33.365586,0,15.83,0.05,-0.05,0,63.16,0.19,-0.19,0,30.4,0.1,0,-124,0.1,0,127.6,0.1,0,30.4,0.1,0,-124,0.1,0,127.6,0.1,0,4.27,0.04,-0.04,0,0.25,0.2,-0.2,0,3,0,1,2,0,3,0,7.013,0.029,0,6.699,0.045,0,6.612,0.022,0,6.561,0.031,0,6.582,0.018,0,6.574,0.014,0,6.269,0,18,0.314,0.054,0,0.087,0.05,0,0.401,0.036,0,12
"448",448,0,2,408.60001,0.5,-0.5,0,0,0.777,0.007,-0.004,0,0,0,0,0,257.815521,-56.680798,63.56,0.16,-0.16,0,7.238,0,7.048,0,5589,18,-18,0,1.96,0.12,-0.12,0,2.3,0.06,-0.06,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.999654,0.004137,-0.001083,0,2455624.267096,0.00533,-0.0023,0,0,2004,3,0,35,19,17.18770142,333.288207,-10.025285,262.00084,-33.579354,0,15.73,0.04,-0.04,0,63.56,0.16,-0.16,0,87.6,0.1,0,-55.9,0,0,103.9,0.1,0,87.6,0.1,0,-55.9,0,0,103.9,0.1,0,4.01,0.01,-0.01,0,-0.22,0.078,-0.08,0,3,0,1,2,0,3,0,5.938,0.018,0,5.588,0.038,0,5.509,0.018,0,5.503,0.172,0,5.385,0.059,0,5.505,0.015,0,5.452,0,13,0.35,0.042,0,0.079,0.042,0,0.429,0.025,0,5
"449",449,0,2,3452,105,-105,0,0,0.96,0.08,-0.07,0,0,0,0,0,257.815521,-56.680798,63.56,0.16,-0.16,0,7.238,0,7.048,0,5589,18,-18,0,1.96,0.12,-0.12,0,2.3,0.06,-0.06,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.89354,0.0038,-0.0035,NA,2455528.86774,0.00848,-0.00407,NA,NA,2014,3,0,24,19,17.18770142,333.288207,-10.025285,262.00084,-33.579354,0,15.73,0.04,-0.04,0,63.56,0.16,-0.16,0,87.6,0.1,0,-55.9,0,0,103.9,0.1,0,87.6,0.1,0,-55.9,0,0,103.9,0.1,0,4.01,0.01,-0.01,0,-0.22,0.194,-0.204,0,3,0,1,2,0,3,0,5.938,0.018,0,5.588,0.038,0,5.509,0.018,0,5.503,0.172,0,5.385,0.059,0,5.505,0.015,0,5.452,0,13,0.35,0.042,0,0.079,0.042,0,0.429,0.025,0,5
"450",450,0,1,818.8,12.1,-12.1,0,0,1.11,0.113,-0.081,0,0,0,0,0,257.768188,-20.65457,75.13,3.33,-3.33,0,6.818,0,6.545,0,4960,100,-100,0,1.69,0.14,-0.14,0,5.03,0.39,-0.39,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.52971,0.00721,-7e-04,NA,2456928.0593,0.0025,-6e-04,NA,NA,2015,3,0,29,16,17.1845459,2.648469,11.087762,258.556045,2.300108,0,13.44,0.06,-0.06,0,74.39,0.35,-0.35,0,-9.8,0.1,0,-138.4,0.1,0,138.7,0.1,0,-9.8,0.1,0,-138.4,0.1,0,138.7,0.1,0,3.17,0.2,-0.2,0,0.08,0.07,-0.07,0,1,0,1,0,0,3,0,5.071,0.037,0,4.728,0.076,0,4.493,0.036,0,4.355,0.209,0,4.14,0.118,0,4.44,0.015,0,4.413,0,21,0.343,0.085,0,0.235,0.084,0,0.578,0.052,0,8
"451",451,0,2,194.3,0.3,-0.3,0,0,1.13,0.044,-0.044,0,0,0,0,0,257.394226,33.355854,43,61.19,-51.95,0,7.27,0,7.121,0,5905,13,-13,0,1.15,0.08,-0.08,0,1.38,0.02,-0.02,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.6542,0.00496,-0.00177,0,2454238.9743,0.004,-0.00601,0,0,2007,3,0,29,15,17.15961507,56.283883,34.774314,250.991653,55.966339,0,22.9,0.02,-0.02,0,43.67,0.05,-0.05,0,-222.5,0,0,-215.9,0,0,310,0,0,-222.5,0,0,-215.9,0,0,310,0,0,4.22,0.03,-0.03,0,-0.6,0.143,-0.17,0,3,0,1,2,0,3,0,6.158,0.024,0,5.886,0.022,0,5.808,0.018,0,5.879,0.114,0,5.726,0.046,0,5.834,0.015,0,5.779,0,14,0.272,0.033,0,0.078,0.028,0,0.35,0.03,0,6
"452",452,0,2,391.9,1,-1,0,0,1.195,0.06,-0.051,0,0,0,0,0,257.394226,33.355854,43,0.07,-0.52,0,7.27,0,7.121,0,5905,13,-13,0,1.15,0.08,-0.08,0,1.38,0.02,-0.02,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.52971,0.0011,-0.0033,0,2454576.2156,0.002,-0.00219,0,0,2007,3,0,24,15,17.15961507,56.283883,34.774314,250.991653,55.966339,0,22.9,0.02,-0.02,0,43.67,0.05,-0.05,0,-222.5,0,0,-215.9,0,0,310,0,0,-222.5,0,0,-215.9,0,0,310,0,0,4.22,0.03,-0.03,0,-0.6,0.036,-0.041,0,3,0,1,2,0,3,0,6.158,0.024,0,5.886,0.022,0,5.808,0.018,0,5.879,0.114,0,5.726,0.046,0,5.834,0.015,0,5.779,0,14,0.272,0.033,0,0.078,0.028,0,0.35,0.03,0,6
"453",453,0,2,131.05,0.54,-0.54,0,0,0.223,0.01,-0.003,0,0,0,0,0,258.09668,63.352093,36.23,0.04,-0.04,0,8.1,0,7.866,0,5453,40,-40,0,0.95,0.08,-0.08,0,0.95,0.02,-0.02,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.3361,0.0028,-0.002,0,2457508.37019,0.00031,-0.00321,0,0,2011,3,0,26,15,17.20644531,93.085409,35.081848,206.993792,84.040817,0,27.6,0.03,-0.03,0,36.23,0.04,-0.04,0,-2,0,0,160.2,0.1,0,160.2,0.1,0,-2,0,0,160.2,0.1,0,160.2,0.1,0,4.46,0.03,-0.03,0,0.14,0.03,-0.04,0,2,0,1,1,0,3,3,6.677,0.018,0,6.346,0.026,0,6.269,0.022,0,6.245,0.081,0,6.252,0.028,0,6.284,0.015,0,6.229,0,14,0.331,0.032,0,0.077,0.034,0,0.408,0.028,0,5
"454",454,0,2,4191,270,-310,0,0,1.89,0.35,-0.264,0,0,0,0,0,258.09668,63.352093,36.23,0.04,-0.04,0,8.1,0,7.866,0,5453,40,-40,0,0.95,0.08,-0.08,0,0.95,0.02,-0.02,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.472,0.0063,-0.004004,0,2456652.71245,0.000198,-0.00732,0,0,2018,3,0,20,15,17.20644531,93.085409,35.081848,206.993792,84.040817,0,27.6,0.03,-0.03,0,36.23,0.04,-0.04,0,-2,0,0,160.2,0.1,0,160.2,0.1,0,-2,0,0,160.2,0.1,0,160.2,0.1,0,4.46,0.03,-0.03,0,0.14,0.08,-0.081,0,2,0,1,1,0,3,3,6.677,0.018,0,6.346,0.026,0,6.269,0.022,0,6.245,0.081,0,6.252,0.028,0,6.284,0.015,0,6.229,0,14,0.331,0.032,0,0.077,0.034,0,0.408,0.028,0,5
"455",455,0,1,842.2,14.5,-14.5,0,0,0.152,0.005,-0.011,0,0,0,0,0,259.964172,-48.54932,56.96,0.18,-0.18,0,6.673,0,6.512,0,5900,15,-15,0,1.25,0.06,NA,0,2.16,0.09,-0.09,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.89354,0.005,-0.0027,NA,2457991.691,0.16,-0.1156,NA,NA,2009,3,0,27,20,17.33094482,340.791106,-6.463043,262.66526,-25.365237,0,17.56,0.06,-0.06,0,56.96,0.18,-0.18,0,-33.2,0.1,0,-211.5,0.1,0,214.1,0.1,0,-33.2,0.1,0,-211.5,0.1,0,214.1,0.1,0,4.07,0.04,-0.04,0,-0.12,0.01,-0.01,0,1,0,1,0,0,3,0,5.563,0.018,0,5.241,0.031,0,5.17,0.021,0,5.202,0.217,0,5.026,0.066,0,5.318,0.023,0,5.15,0,13,0.322,0.036,0,0.071,0.037,0,0.393,0.028,0,11
"456",456,0,1,4.6455,0.0011,-0.0011,0,0,0.22,0.006,-0.01,0,0,0,0,1,259.418701,29.227226,24.35,0.02,-0.02,0,8.42,0,8.108,0,4850,88,-88,0,0.77,0.02,-0.02,0,0.72,0.01,-0.01,0,0,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,0.1275,0.0065,-0.0062,0,2456459.59957,0.00558,-0.00623,0,0,2010,3,0,23,16,17.29458008,51.968206,32.114439,254.873644,52.112332,0,41.07,0.03,-0.03,0,24.35,0.02,-0.02,0,-72.6,0,0,216.8,0.1,0,228.6,0,0,-72.6,0,0,216.8,0.1,0,228.6,0,0,4.6,0.12,-0.12,0,0.05,0.06,-0.06,0,1,0,1,0,0,4,3,6.593,0.025,0,6.117,0.024,0,6.004,0.02,0,5.985,0.128,0,5.975,0.041,0,6.015,0.015,0,5.962,0,15,0.476,0.035,0,0.113,0.031,0,0.589,0.032,0,6
